stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,2,0,1,0,0,1,0,2,12,1,0,0,2,0,1,2,1,0,0,0
 24-34,1.64,0,0,0,0,0.82,0,0,1.64,0.82,18.88,0,1.64,0,0,0,0,1.64,6.57,0,0.82,0
 36-46,0,0,1.61,0,0.81,0,0,0,0.81,1.61,19.34,0.81,0,1.61,0,0,0,0,5.64,0,0,0.81
 48-58,0.57,0,7.46,0,1.72,0,0,0,3.44,0.57,20.08,0,0,0,0,0,0,0,3.44,0,0.57,0
 60-70,0,0,21.59,0.98,3.93,0,1.96,0,10.8,0,36.32,0,0,0,0,0,0,0,3.93,0,1.96,0
 72-82,0,0.98,11.78,0.98,0.98,0,0.98,0,1.96,0,11.78,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,8.5,0,2.12,0,0,0,3.19,1.06,9.56,0,0,1.06,0,0,0,0,1.06,1.06,1.06,0
 96-106,2.19,0,4.37,0,2.19,0,0,0,1.09,1.09,1.09,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,2.3,0,0.77,0.77,0,0,0.77,0,3.83,0.77,0,0.77,0,0.77,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,5.88,0,0,0,0,0,0,0,0,0,0,0
