stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,18.88,0,0,0.82,0,1.64,2.46,0,0,2.46,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,1.61,0,0,0,0,0,2.42,0,0,1.61,12.89,0.81,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0.57,0,4.02,0,0,0,2.87,0.57,0,0,0,0,2.3,0,0,0,12.05,0,0,0,0,0,1.72,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,15.7,0,0,0,0.98,0,0,1.96,0,0.98,2.94,0.98,0.98,2.94,10.8,0,0.98,0,0,1.96,4.91,0,0,0,0,0
 72-82,0,0.98,0,0,1.96,8.83,0,0,0,2.94,0,0,0,0,0,8.83,0.98,0,0,11.78,0,0,0.98,0,3.93,1.96,0,0,0.98,0,0
 84-94,0,0,0,1.06,2.12,4.25,1.06,0,0,1.06,0,0,0,0,0,1.06,0,0,0,5.31,0,0,0,0,4.25,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,2.19,6.56,0,0,0,1.09,0,0,0,0,0,10.93,0,0,0,8.74,0,0,0,0,2.19,1.09,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,2.3,0,0,0.77,1.53,0.77,0,0,0.77,0,4.6,0,0,1.53,7.66,0,0,0.77,0,3.06,0,0.77,0.77,0.77,0.77,0
120,0,0,0,3.92,0,1.96,0,1.96,0,7.84,3.92,0,0,0,0,3.92,0,0,0,5.88,0,0,0,0,1.96,0,0,0,1.96,0,0
