stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,2213.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0
  5-6,202.28,1679.52,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,245.19,0,0,0,0,0,0,0,0,0
  7-9,15.77,5.26,0,7.89,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.76,15.77,0,0,107.78,0,60.46,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.3,0,0,0,34.62,0,40.91,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,16,519,1,0,0,0,1,0,2,15,0,1,0,5,0,0,8,0,2,3,0,3,25,19,0,0,0,0,634,2,17,0,1,1,0,0,0,0
 24-34,0.82,0,0,7.39,440.8,0.82,0,6.57,0,45.15,0,4.1,3.28,0.82,4.93,0.82,4.1,0,0.82,11.49,0.82,16.42,14.78,0,11.49,77.98,6.57,0.82,0,0,0,1317.47,0,23.8,0,1.64,14.78,0,3.28,0,0
 36-46,0,0,0,0.81,252.98,0.81,0,4.03,1.61,82.18,1.61,1.61,1.61,0,7.25,0,2.42,0,0,2.42,0,33.03,16.92,0,7.25,47.53,8.86,0.81,0.81,0,0,1281.82,0,11.28,0,0,8.06,0,2.42,0,1.61
 48-58,0,0,0,0.57,164.68,0,0,18.94,0,83.78,1.15,2.87,4.59,0.57,1.72,0,1.15,0,0,2.3,0.57,15.49,13.77,0,4.02,39.02,3.44,0.57,0.57,0,0,920.96,0,9.18,0,0,9.75,0,0.57,0,0
 60-70,0,0,0,0,183.54,0.98,0,14.72,0,64.78,1.96,3.93,26.5,0,0,0,4.91,0,0,5.89,0,23.56,8.83,0.98,0.98,26.5,0.98,0.98,0.98,0,0,741.05,0,9.82,0,0,3.93,0.98,0.98,0,0.98
 72-82,0,0,6.87,0,302.35,0.98,0,39.27,0,87.37,1.96,7.85,132.52,0,0,0.98,4.91,0.98,0,53.01,0,40.25,6.87,0.98,0,54.97,1.96,2.94,0.98,0,0.98,519.3,0,18.65,0.98,0,2.94,0,1.96,0,0
 84-94,0,0,2.12,1.06,529.96,1.06,0,37.17,0,155.06,2.12,4.25,274.01,0,0,0,4.25,1.06,0,217.72,1.06,22.3,13.81,0,3.19,29.74,1.06,3.19,0,0,0,1217.09,0,44.61,0,0,1.06,1.06,5.31,3.19,1.06
 96-106,0,0,7.65,0,591.23,1.09,3.28,76.5,1.09,114.75,2.19,12.02,374.85,0,1.09,1.09,5.46,0,0,336.6,0,34.97,13.11,0,3.28,119.12,2.19,3.28,2.19,0,1.09,758.44,0,33.88,0,0,1.09,4.37,1.09,0,1.09
108-118,0,0,2.3,0,494.81,0,0.77,65.87,0.77,144,4.6,5.36,411.32,0,0,1.53,13.02,1.53,0.77,612,0.77,29.87,6.13,0,1.53,100.34,3.06,3.06,0,0,1.53,687.07,0,40.6,0,0,1.53,3.83,4.6,0.77,1.53
120,0,0,1.96,0,303.77,1.96,0,29.4,0,68.59,0,3.92,256.73,0,1.96,0,5.88,0,0,211.66,0,13.72,5.88,0,0,66.63,0,1.96,0,0,0,237.13,0,17.64,0,0,0,0,3.92,0,0
