stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,otic,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,1,1,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,6.57,1.64,0.82,0,0,39.4,0.82,0,0,0,0,4.1,0,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,33.84,0,0,0,0,0,4.83,0,0,0,0.81,0,0
 48-58,0,0,4.02,0,0.57,46.48,0,0,0,0,0,2.3,0,0.57,0,0,0,0
 60-70,0,0.98,0.98,0,0,48.09,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0.98,0,0.98,0,0.98,59.88,0,0,3.93,0,0.98,0.98,0,0,0.98,0,1.96,0
 84-94,0,0,1.06,0,0,105.14,0,1.06,0,1.06,0,3.19,0,0,0,1.06,0,0
 96-106,1.09,0,0,0,0,120.21,0,0,1.09,0,0,1.09,0,0,0,0,3.28,0
108-118,0.77,0,0.77,0,0,78.13,0,0,0,0,0,0,0.77,0,0,0,0.77,0
120,0,1.96,0,0,0,97.99,0,0,1.96,0,0,1.96,0,0,1.96,0,1.96,0
