stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,10,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,74.7,7.39,1.64,0,0.82,0,0,0,29.55,0,0,0.82
 36-46,0,0,0.81,0,0,8.06,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,170.8,4.03,0,0,0.81,0,0,0,44.31,0,0,0
 48-58,0,0,1.15,0,0,22.38,0.57,0,2.87,0,0,0,0,0,0,0,2.3,0,0,211.73,0.57,0,0,0,0,0,0,28.12,0,0,0
 60-70,0,0.98,0,0,0,43.19,0,0,5.89,0.98,0,0,0,0,0,0,1.96,0,0,290.53,0.98,0.98,0,0,0,0,0,35.33,0,0,0
 72-82,0,2.94,0,0,0,62.83,0,0,9.82,3.93,0.98,0,0,0,0,0,5.89,0.98,0,284.68,3.93,1.96,0,0.98,0,0,0,9.82,0.98,0,0
 84-94,0,0,1.06,0,0,22.3,0,0,4.25,19.12,0,0,0,0,0,1.06,4.25,0,1.06,132.75,1.06,1.06,0,1.06,0,1.06,0,12.74,0,0,0
 96-106,0,0,1.09,1.09,0,31.69,0,1.09,2.19,14.21,1.09,0,0,0,2.19,1.09,4.37,0,0,113.66,1.09,3.28,0,0,0,0,0,3.28,0,1.09,0
108-118,0,0.77,0.77,0,0.77,26.81,0,0,0.77,20.68,0.77,0,0.77,0,0,0,3.06,0,0.77,136.34,0.77,5.36,0,0.77,0,0,0,6.13,0,0,0
120,0,0,7.84,0,0,15.68,0,0,1.96,7.84,1.96,0,0,0,0,0,5.88,0,0,166.58,1.96,1.96,0,3.92,1.96,0,0,0,0,0,1.96
