stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,3,1,0,1,0,0,0,0,0,2,1,11,1,0,1,0,0,0,4,8,0,0,3,0
 24-34,0,0,1.64,7.39,0.82,3.28,0,0,0.82,0,0,0,0,0,3.28,5.75,73.06,1.64,0,0.82,0,0,0,0,11.49,0,0,10.67,0
 36-46,0,0,0,6.45,0,8.06,0,0.81,11.28,0,0.81,0,0,0,7.25,0.81,97.49,0,0,0.81,0,0,0,0,16.11,0,0,15.31,0
 48-58,0,0,0,1.15,0,9.75,0,0.57,16.64,0,1.72,0,0.57,0,9.75,1.72,92.38,0,0,0.57,0,0,0,0,20.08,0,0,14.35,0
 60-70,0,0,0,2.94,0,16.69,0.98,0,7.85,0,2.94,0,0,0.98,17.67,0,77.54,0,0.98,0.98,0,0.98,0,0,11.78,0,0,4.91,0
 72-82,0,0,0,0.98,0,14.72,0,2.94,2.94,0,5.89,0.98,0,0,10.8,0.98,35.34,0,0.98,0.98,0,0,0,0,3.93,0,0,32.39,0.98
 84-94,0,0,0,1.06,0,12.74,2.12,0,7.43,1.06,1.06,1.06,0,0,8.5,0,21.24,0,6.37,0,0,1.06,0,0,2.12,1.06,1.06,19.12,0
 96-106,0,0,0,0,1.09,4.37,1.09,0,4.37,0,5.46,1.09,0,0,17.49,1.09,10.93,0,6.56,1.09,0,0,0,0,0,0,0,30.6,0
108-118,0,0,0,0.77,0,3.83,0,0.77,1.53,0,0.77,0.77,0.77,0,6.13,0,6.13,0,5.36,1.53,0,0,0,0,0.77,0,0,22.21,0
120,0,0,0,3.92,1.96,1.96,0,0,0,0,0,0,0,0,5.88,0,9.8,0,1.96,0,0,0,1.96,0,0,0,0,21.56,0
