stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,7,0,0,0
 24-34,0,0,0,1.64,0,0,0,25.45,0,0.82,0,0,0,4.1,0.82,0,3.28,0,0,0
 36-46,0,0,0,1.61,0,1.61,0,21.75,0,0,0,0,0.81,8.06,4.03,1.61,1.61,0,0.81,0
 48-58,0,0.57,0,0.57,0,0,0,20.66,0,1.72,0,0,0,4.02,2.3,1.72,0.57,0,0,0
 60-70,0,9.82,0,3.93,0,0,0.98,15.7,0,0.98,0,0,1.96,10.8,3.93,1.96,0.98,2.94,0,0
 72-82,0.98,5.89,0.98,7.85,0,0,1.96,24.54,0,2.94,0,0.98,0,13.74,7.85,0.98,0,17.67,0,0
 84-94,1.06,20.18,0,6.37,0,0,4.25,32.92,1.06,3.19,0,1.06,0,6.37,4.25,5.31,1.06,20.18,0,0
 96-106,0,37.16,0,3.28,1.09,3.28,7.65,36.06,1.09,3.28,0,0,0,7.65,4.37,2.19,0,31.69,1.09,2.19
108-118,2.3,46.72,0,2.3,0,0.77,9.19,19.15,0,4.6,0.77,0,0,11.49,3.06,2.3,0,30.64,1.53,0.77
120,0,27.44,0,3.92,0,0,3.92,47.03,0,0,0,0,0,7.84,1.96,1.96,1.96,11.76,0,0
