stage,axial,blastomeres,epidermis,eye,glial,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,5.75,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0.81,0,0,0.81,0,7.25,0,0,0,0,0,0,0
 48-58,0,0,0,3.44,0,0,0,0,0,0.57,3.44,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,2.94,0,0,6.87,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,8.83,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0.98
 84-94,0,0,0,13.81,0,0,0,0,0,0,2.12,0,0,0,0,0,1.06,0
 96-106,0,0,2.19,7.65,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,10.72,0,0,0.77,0.77,0,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,17.64,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0
