stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0.82,0,0,0.82,2.46,0.82,0,0,1.64,0,0,0,7.39,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,7.25,0,0,2.42,4.03,0.81,0,0,4.03,0,0,0,6.45,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,37.87,0,0,12.05,32.13,0.57,0,0,10.33,0,1.72,0.57,15.49,0,0,0.57,0.57,0,2.87,0,0,0
 60-70,0,0,225.75,0,0,15.7,18.65,0,0,0,4.91,0,0,1.96,4.91,0,0.98,0,0,0,3.93,0,0,0
 72-82,0,1.96,235.6,0,0,16.69,12.76,0.98,0,0,3.93,0,0.98,0.98,18.65,0.98,0,0,0,0,0,0.98,0,0
 84-94,1.06,1.06,245.33,1.06,0,8.5,22.3,0,0,0,11.68,0,0,0,10.62,1.06,1.06,0,1.06,0,1.06,0,0,1.06
 96-106,0,2.19,184.69,0,1.09,8.74,2.19,2.19,2.19,1.09,5.46,0,0,0,5.46,0,0,0,0,0,0,0,0,0
108-118,0,0.77,131.75,0,0,9.19,0,0,0,0.77,3.83,0.77,0.77,1.53,9.96,0,0,0,0,0,0,0,0,0
120,0,0,105.83,0,0,17.64,0,1.96,0,0,1.96,0,0,0,11.76,0,1.96,0,0,0,1.96,0,1.96,0
