stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,3,6,0,1,0,0,1,0,15,0,0,0,0,0,2,2,0,0,0
 24-34,0,0,1.64,4.1,0,0,0.82,0,2.46,2.46,22.16,0,0.82,0.82,0,0.82,0,3.28,0,0,0
 36-46,0,0,0,0.81,1.61,1.61,0,0,3.22,1.61,6.45,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,1.72,1.15,0,0,0,3.44,1.72,2.87,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,1.96,1.96,0.98,0,11.78,0.98,1.96,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,5.89,0,5.89,10.8,0.98,5.89,0,0,0,0,0,0,0.98,0.98,0,0.98
 84-94,0,0,0,0,0,3.19,0,11.68,8.5,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.37,0,3.28,1.09,15.3,10.93,2.19,2.19,1.09,0,0,0,1.09,0,0,1.09,0,1.09
108-118,0,0.77,0,1.53,0,1.53,0.77,11.49,6.89,1.53,6.13,1.53,0,0.77,0,0,0,0,0.77,1.53,4.6
120,0,0,0,0,0,1.96,3.92,3.92,1.96,1.96,3.92,3.92,0,0,0,0,0,0,0,0,0
