stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,655.87,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,23.66,0,0,0,47.32,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,417.97,18.4,0,0,115.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,31.47,0,6.29,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.43,18.88,0,0,141.61,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,16,5,0,10,0,0,5,0,0,1,0,0,0,0,0,0,10,0,12,163,1,3,2,3,0,8,0,7,2,1,11,69,0,0,5,0,0
 24-34,0,0,0,0,6.57,0,0,19.7,0,1.64,4.1,0,0,3.28,1.64,0,0,0,0,1.64,27.09,0,13.95,260.21,3.28,5.75,1.64,0,0.82,6.57,0,0,2.46,0,1.64,52.53,0,0,18.88,0,1.64
 36-46,0,0,0,0,4.83,0,0,26.59,1.61,0,8.86,0.81,0,2.42,0,0,0,0,0.81,0.81,21.75,0,5.64,418.14,1.61,2.42,1.61,0,0,8.06,0,0,0,0,0,89.43,0,0,10.47,0,0
 48-58,0,0,0,0,4.59,0,0,47.05,0,0,20.66,0,0,1.15,0,0,0.57,0,0,0,49.35,2.3,5.74,304.69,2.3,0,1.15,0,0.57,4.59,0,0,0.57,0,0,70,0,0,14.35,0,1.15
 60-70,0,0,0,0,4.91,0.98,0,60.85,0,0.98,20.61,1.96,0,1.96,0,0,0.98,0,0,0.98,52.02,1.96,4.91,257.16,2.94,3.93,0,0,0.98,2.94,0,0,0,0,0,37.3,0,0.98,11.78,0.98,2.94
 72-82,0,0,1.96,0,10.8,0,0.98,83.44,1.96,8.83,33.38,0.98,0,3.93,0,0,2.94,0.98,0,0,97.18,0.98,8.83,202.22,0,1.96,0.98,0,0,7.85,0,0,0,0,0,23.56,0,2.94,22.58,3.93,3.93
 84-94,0,0,0,1.06,14.87,1.06,0,53.1,3.19,1.06,13.81,5.31,0,3.19,2.12,4.25,2.12,1.06,0,2.12,35.05,4.25,0,98.77,2.12,2.12,0,0,0,19.12,0,0,0,0,0,15.93,0,3.19,19.12,2.12,2.12
 96-106,0,0,0,0,20.76,1.09,0,52.46,4.37,1.09,18.58,2.19,0,3.28,1.09,0,2.19,2.19,0,2.19,52.46,1.09,3.28,95.08,1.09,1.09,3.28,0,1.09,13.11,0,0,0,0,0,5.46,1.09,1.09,10.93,5.46,3.28
108-118,0,0,0,0,14.55,0,0,45.19,3.06,2.3,9.19,3.06,0,0.77,0.77,1.53,3.06,0,0,0.77,43.66,3.06,6.13,78.13,2.3,0.77,0.77,0,1.53,10.72,0,0,0.77,1.53,0,1.53,0.77,1.53,12.26,0.77,3.06
120,0,0,0,0,9.8,0,0,45.08,11.76,1.96,15.68,1.96,0,0,1.96,0,3.92,0,0,1.96,25.48,3.92,1.96,58.79,3.92,0,3.92,0,1.96,11.76,0,0,0,0,0,1.96,1.96,0,7.84,0,0
