stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,7,1,0,7,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,60,0,1,0,1,0,1,4,0,1,1,31,0,0,0,0,0
 24-34,0,0,2.46,0,3.28,0,0,6.57,0,0.82,0.82,4.93,0,0,0.82,0.82,0,0,0,2.46,0,0,3.28,142.01,0.82,6.57,0,0,0.82,0,0,0.82,0,1.64,53.36,0,0,3.28,0,0.82
 36-46,0,0,1.61,0,0.81,0,0,13.7,0,0,0,5.64,0,0,0,0,0,0.81,0,3.22,0.81,0,0,232.03,0,4.83,0,0,0.81,0.81,0,0,0,0,88.62,0,0,0,0,0
 48-58,0,0,1.15,0,0.57,0,0,40.74,0.57,0,0,11.48,0,0,0.57,0,0,0,0.57,10.33,1.72,0,1.15,275.43,0,2.3,1.15,0,0,0,0,0,0.57,0,80.91,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,0,80.48,0,0,0,19.63,0,0,0.98,0,0,0,0.98,11.78,0,1.96,0,466.22,0,1.96,0.98,0,0.98,0,0,0,0,0,101.1,0,0,1.96,0,0
 72-82,0,0,0.98,0,4.91,1.96,0,117.8,0.98,0,0,36.32,0.98,0,0,0.98,0.98,10.8,0,30.43,0.98,0,1.96,555.62,0,8.83,5.89,0,0,0,0,0,0,0,62.83,0,0.98,1.96,0.98,0
 84-94,0,0,0,0,3.19,2.12,0,60.54,0,0,0,14.87,0,0,0,0,1.06,6.37,0,7.43,0,1.06,1.06,278.25,1.06,1.06,6.37,0,1.06,0,0,0,0,0,42.48,0,0,0,0,0
 96-106,0,0,1.09,0,9.84,1.09,0,62.29,0,0,0,14.21,2.19,0,0,0,0,21.86,0,6.56,2.19,1.09,0,280.86,0,7.65,5.46,0,2.19,0,0,0,0,0,14.21,0,3.28,4.37,1.09,0
108-118,0,0,1.53,0,5.36,0.77,0.77,45.19,0,0,0,16.09,0,0,0,0.77,1.53,20.68,0,13.79,0,0,0.77,297.96,0,2.3,2.3,0,0.77,0.77,0,0.77,0,0,10.72,0.77,0,2.3,0,0
120,0,0,0,0,3.92,0,0,45.08,0,0,0,19.6,0,0,1.96,0,0,17.64,0,9.8,0,1.96,1.96,333.16,0,0,1.96,0,0,0,0,0,0,0,7.84,0,0,0,0,0
