stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,2121.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,888.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,10.51,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,22.03,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,0,22,4,3,0,0,0,2,1,2,0,0,0,0,0,2,0,7,0,0,7,222,1,1,1,0,0,2,1,4,1,0,31,110,0,0,0,0,4
 24-34,0,0,1.64,0,7.39,0.82,30.37,0,0,1.64,5.75,0,0,0,0,0.82,0,0,1.64,11.49,28.73,0,0,18.88,778.17,2.46,36.94,2.46,0,0,1.64,0,0,0,0,8.21,270.88,0,0,10.67,0,54.18
 36-46,0,0,2.42,0,1.61,0,77.34,0,0.81,3.22,34.64,0,0,0,0,0.81,1.61,0,0,20.14,29.81,0,0.81,8.06,1234.29,0.81,44.31,0.81,0,0,0,1.61,0,0,0,0,352.88,0,0,1.61,0,59.62
 48-58,0,0,0.57,0,2.87,0,323.63,0,0,3.44,86.07,0,0,0.57,0.57,0,0.57,0,0,6.31,21.8,0,3.44,4.59,1425.33,0.57,22.38,2.3,0,0,0,0,0,0,0.57,0,301.82,0,0,0.57,0,59.68
 60-70,0,0,0,0,3.93,0,823.5,0,0,0,199.25,0.98,0,0,1.96,0,2.94,0,0,0.98,21.59,0,0.98,3.93,1834.46,0,21.59,2.94,0,0,2.94,0,0,0,0,0,275.81,0,0,0,0,37.3
 72-82,0,0,9.82,0,8.83,0.98,1013.08,1.96,1.96,1.96,361.25,7.85,0,0,3.93,0.98,6.87,4.91,0,0,30.43,0,2.94,2.94,1749.32,0,46.14,5.89,0,0,0,0,0,0,0,0,138.41,1.96,0.98,2.94,1.96,18.65
 84-94,0,0,7.43,0,11.68,1.06,614.92,0,0,1.06,252.76,7.43,0,3.19,2.12,0,14.87,2.12,1.06,2.12,20.18,0,4.25,9.56,914.41,0,45.67,8.5,0,0,1.06,0,0,0,0,0,83.9,5.31,0,1.06,1.06,22.3
 96-106,0,0,9.84,0,14.21,1.09,466.65,0,2.19,1.09,287.42,8.74,0,1.09,4.37,0,21.86,6.56,4.37,0,22.95,1.09,3.28,4.37,803.24,0,79.78,12.02,0,0,7.65,0,0,0,0,0,38.25,2.19,1.09,2.19,2.19,18.58
108-118,0,0,6.89,0.77,9.96,2.3,392.94,0,0,2.3,269.62,7.66,0,0,3.06,0.77,29.87,7.66,0.77,0,22.98,0,1.53,3.06,885.45,0,45.96,5.36,0,0.77,8.43,0,0,0.77,0,0,19.92,3.06,0,2.3,0,19.15
120,0,0,1.96,0,13.72,0,215.58,0,0,1.96,197.94,1.96,0,0,1.96,0,11.76,3.92,1.96,0,19.6,0,1.96,3.92,633.01,3.92,21.56,1.96,0,0,9.8,0,0,0,0,0,23.52,1.96,1.96,1.96,0,9.8
