stage,axial,epidermis,erythrocytes,eye,fin.mesenchyme,glial,iridophores,mesenchyme,muscle,neural,pronephros,slow.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0.57,0,1.15,0.57,0.57,0,2.3,0,2.3,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0.98,1.96,0,0
 84-94,0,1.06,0,1.06,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0.77,0,0
