stage,blastomeres,endocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,neural,spinal.cord,vascular.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,2.46,0,0,0.82,2.46,0,0
 36-46,0,0,1.61,0,0,5.64,0,0,0,7.25,0.81,0
 48-58,0,0,4.02,0.57,0.57,5.16,0,0,0.57,4.02,1.72,0
 60-70,0,0,0,0,0,11.78,0,0,0,2.94,1.96,0
 72-82,0,0,3.93,0,0,18.65,0,0,0,2.94,2.94,0
 84-94,0,0,5.31,1.06,0,9.56,0,0,0,1.06,3.19,0
 96-106,0,0,7.65,0,0,4.37,0,0,0,3.28,1.09,0
108-118,0,0.77,10.72,0,0,11.49,2.3,0.77,0.77,3.06,0,0.77
120,0,0,1.96,0,0,3.92,3.92,0,3.92,5.88,1.96,0
