stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0,0,0,0,0
 24-34,0.82,0,2.46,0,0,0.82,0,0,0.82,0,0,0,0,52.53,0.82,0,14.78,0,0,0,0,0
 36-46,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,143.41,1.61,0,21.75,0,0,0,0,0
 48-58,0,0,13.77,0,0,0,0,0,0,0,1.15,0,0,187.63,3.44,0,33.85,0,0,0,0,0.57
 60-70,0,0,49.08,0,0.98,0.98,2.94,0,0,0,3.93,0.98,0,318.99,1.96,0,31.41,0,0,0,0,0
 72-82,2.94,0,79.51,0,0,0,7.85,0,0,0,0.98,0,0,280.76,0,0,21.6,0,0,0,0.98,0
 84-94,1.06,1.06,55.23,0,0,0,5.31,0,1.06,0,3.19,0,1.06,158.24,5.31,2.12,11.68,0,0,1.06,0,0
 96-106,0,1.09,33.88,0,0,0,2.19,0,0,0,3.28,0,0,112.56,4.37,1.09,6.56,1.09,0,0,0,0
108-118,0.77,0,24.51,0.77,0,0,4.6,0.77,0,0.77,1.53,0,0,145.53,2.3,0,5.36,1.53,0.77,0.77,0,0
120,0,0,17.64,0,0,0,7.84,0,0,0,3.92,0,0,115.63,3.92,1.96,0,0,0,0,0,1.96
