stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,73.6,15.77,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.03,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,132.17,18.88,0,0,72.38,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,3,7,3,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,3,23,4,1,1,1,0,4,1,2,0,5,22,0,0,4,0
 24-34,0,0,0,4.93,0,8.21,0,0,0.82,2.46,0,0,0.82,0,0,0.82,0.82,0,0,12.31,0,0.82,8.21,62.39,1.64,0.82,1.64,0,0,8.21,0,0,0,2.46,20.52,0,0,3.28,0.82
 36-46,0,0,0,3.22,0,11.28,0,0.81,0.81,5.64,0.81,0,0,0,0,0,0,0,1.61,12.09,0.81,0,3.22,65.26,0,0.81,0.81,0,0,6.45,0,0,0,0,18.53,0,0,4.03,0
 48-58,0,0,0,1.15,0,12.62,1.15,1.15,0.57,13.77,0,0,0,0,0,0,1.15,0,0.57,23.53,1.15,1.15,2.87,61.97,0,0,1.15,0,0,5.16,0,0,0,0,15.49,0,0,4.02,0.57
 60-70,0,0,0,2.94,0,40.24,2.94,0,0.98,16.69,0.98,0,0,0,0,0.98,1.96,0,0,27.48,4.91,0.98,3.93,84.41,0,0.98,6.87,0,0,7.85,0,0,0,0,13.74,0,2.94,3.93,0
 72-82,0,0,0,1.96,0,19.63,0.98,0.98,0.98,9.82,3.93,0,0,3.93,0,0,4.91,0.98,0,21.6,1.96,1.96,1.96,50.06,0,0.98,0.98,0,0,12.76,0,0,0,0,1.96,1.96,2.94,3.93,0
 84-94,0,0,0,7.43,0,19.12,1.06,0,0,12.74,2.12,0,0,2.12,3.19,1.06,0,0,1.06,20.18,2.12,1.06,3.19,36.11,0,0,2.12,0,0,18.05,0,0,0,0,3.19,2.12,0,11.68,0
 96-106,0,0,0,3.28,0,16.39,0,1.09,3.28,8.74,4.37,0,2.19,1.09,1.09,1.09,1.09,0,1.09,14.21,6.56,0,2.19,22.95,0,2.19,2.19,0,0,17.49,0,0,0,0,1.09,3.28,0,6.56,0
108-118,0,0,0,6.13,0,9.96,0.77,1.53,0,10.72,1.53,0,0,1.53,2.3,2.3,0,0,0.77,8.43,0.77,0,1.53,20.68,1.53,1.53,3.06,0,0.77,11.49,0,0,0.77,0,0,3.06,0,1.53,0
120,0,0,0,3.92,0,7.84,1.96,0,0,3.92,9.8,0,0,3.92,0,1.96,1.96,0,0,5.88,1.96,1.96,5.88,15.68,0,1.96,0,0,0,9.8,0,0,0,0,0,1.96,0,5.88,0
