stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,63.09,5.26,0,0,36.8,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,2,0,0,0,1,0,0,0,1,0,0,0,1,2,0,2,34,2,0,1,0,0,0,7,0,1,5,14,0,0,0
 24-34,0,0,0.82,3.28,3.28,2.46,0,0.82,0,0,0.82,0.82,0.82,0,0,0,0.82,3.28,0.82,3.28,73.88,0.82,2.46,0,0,0,0.82,0,0,0,0,14.78,0,1.64,0
 36-46,0,0,0,1.61,12.09,0,0,2.42,0,0,0,0,0,0,0,0,0,6.45,0,2.42,92.65,0.81,3.22,0,0,0,4.83,0,0.81,0,0,24.17,0,0,0
 48-58,0,0.57,0,1.72,17.21,0,0,12.62,0.57,0,0,3.44,0,0,0.57,0,0.57,13.2,0,2.87,64.84,0.57,1.72,0.57,0,0,1.72,0,0,0,0,14.92,0,2.3,0
 60-70,0,0,0,0,19.63,0,1.96,3.93,0,0,0,7.85,0,0.98,0,0,0,9.82,0,0.98,63.8,0,0.98,0.98,0,0,0.98,0,0,0,0,9.82,0,1.96,0
 72-82,0,0.98,0,0.98,17.67,0,0,15.71,0,0,0.98,20.61,0,0.98,0,0,0,18.65,0,0.98,71.66,0,0.98,0.98,0,0,0.98,0,0.98,0,0,5.89,0.98,0.98,0.98
 84-94,0,0,0,1.06,11.68,0,2.12,5.31,1.06,0,0,13.81,0,0,0,0,0,7.43,0,2.12,30.8,1.06,1.06,0,0,0,0,0,0,0,0,3.19,0,2.12,0
 96-106,0,0,0,6.56,10.93,0,0,3.28,0,0,0,54.64,0,0,0,1.09,0,6.56,1.09,1.09,27.32,1.09,2.19,3.28,0,1.09,4.37,0,0,0,0,0,0,1.09,0
108-118,0,0,0,3.06,9.19,0,0,7.66,0,0,0,44.43,0,0.77,0.77,0.77,0,7.66,0,0,36.77,0,0.77,0,0,0.77,1.53,0,0.77,0,0,0.77,0,0.77,0
120,0,0,0,3.92,9.8,0,0,0,0,0,0,41.16,0,0,0,0,0,3.92,0,0,23.52,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0
