stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0.82,0,2.46,0,0,0,0,0,0,0,0,0,77.16,0,6.57,0.82,0,0,0,17.24,0,0,0,0
 36-46,0,0,0,0,0,0,8.06,0.81,0,0,0,0,0,0.81,0,0,124.88,0,3.22,0.81,0,0,0,18.53,0,0,0,0
 48-58,0,0,0,0,0,0.57,13.2,0.57,0,0,0,0,0,0.57,0,0,122.22,0.57,1.15,0,0,0,0,20.08,0,0,0,0
 60-70,0,0,1.96,0,0.98,0,12.76,4.91,0,0,0,0,0.98,1.96,0,0,225.75,0,0,0,0,0,0,30.43,0,0,0,0
 72-82,0,0,3.93,0,1.96,0,22.58,3.93,2.94,0.98,0,0,0,3.93,0,0,305.3,0,0.98,0.98,0,0,0.98,25.52,0.98,0,2.94,0
 84-94,0,0,3.19,0,5.31,0,40.36,10.62,1.06,0,0,1.06,3.19,3.19,0,2.12,160.37,0,2.12,0,0,1.06,0,10.62,0,0,0,0
 96-106,0,0,2.19,0,3.28,1.09,33.88,8.74,0,0,1.09,0,2.19,2.19,1.09,0,171.58,0,1.09,1.09,0,0,0,13.11,0,0,0,1.09
108-118,0,0,2.3,0.77,2.3,0,26.04,6.89,0.77,0,0,0,3.06,1.53,0,0,175.41,0,2.3,0.77,0,0.77,0,10.72,0.77,0.77,1.53,0.77
120,0,0,1.96,0,1.96,0,56.83,0,0,0,1.96,0,1.96,3.92,0,0,205.78,1.96,0,0,0,0,0,11.76,0,0,1.96,0
