stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,594.57,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,15.77,49.95,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,56,0,0,0,0,0,0,0,0,31,4,1,0,2,2,0,1,7,0,1,15,0,76,1,0,1,1,0,0,0
 24-34,0,0,0,0,12.31,0,0,2.46,0,1.64,0.82,0,0,37.76,8.21,0.82,0,0,3.28,0,0,12.31,0,0.82,2.46,0,102.61,0,0,0,1.64,0,1.64,0
 36-46,0,0,0,0,10.47,0,0,2.42,0,3.22,0.81,4.83,0.81,13.7,6.45,0,0,0,1.61,0,0.81,16.11,0,0.81,3.22,0,64.45,0,0.81,0,3.22,0,0,0
 48-58,0,0,0,0,10.33,0.57,0,3.44,0,10.9,0.57,1.15,0,3.44,9.75,0.57,0,1.72,2.3,0,0,8.61,0,0.57,1.15,0,45.33,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,28.46,0,0,4.91,0,31.41,1.96,5.89,0,11.78,9.82,0.98,0,1.96,0.98,0,0,11.78,0,0,1.96,0,78.52,0,0,0,2.94,0,0,0
 72-82,0,0,0.98,0,30.43,0.98,0,8.83,0.98,28.47,0.98,19.63,0.98,17.67,3.93,0.98,0,1.96,2.94,0,0,12.76,0,0.98,2.94,0,71.66,0,0,0,0,0,0,0
 84-94,0,0,2.12,0,79.65,0,0,7.43,0,48.85,1.06,26.55,0,28.68,11.68,1.06,0,1.06,5.31,0,0,5.31,0,1.06,0,0,245.33,0,0,0,0,1.06,0,0
 96-106,0,0,2.19,0,90.71,0,1.09,1.09,0,60.11,2.19,67.76,1.09,43.71,12.02,1.09,1.09,3.28,15.3,0,2.19,29.51,0,3.28,1.09,0,379.22,0,2.19,0,0,1.09,0,1.09
108-118,0,0,2.3,0,109.53,0.77,0,3.06,0,93.45,0,49.02,0.77,30.64,8.43,0.77,0,3.06,5.36,0.77,0,14.55,0,0.77,0,0,212.17,0,3.06,0,0,3.06,0,0
120,0,0,1.96,1.96,115.63,1.96,0,0,0,88.19,0,66.63,0,27.44,3.92,1.96,0,3.92,3.92,0,0,21.56,0,0,1.96,0,176.38,0,0,0,1.96,1.96,0,0
