stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,6,0,0,0,0,0,0,3,4,0,0,0,2,0,1,1,5,1,0,0,0,103,0,2,0,0,0
 24-34,0,14.78,9.85,0.82,13.95,0,0,0,0,11.49,1.64,1.64,0,0,4.93,0.82,1.64,1.64,23.8,0,0,0,2.46,136.26,0.82,14.78,0,0,0.82
 36-46,0,4.03,3.22,0,11.28,0,0,0,0.81,14.5,0.81,2.42,0,0,3.22,0,0,0,22.56,0.81,0,0,0,83.79,0,8.06,0.81,0,0
 48-58,0,0,0.57,0,21.23,0,0,0,2.87,26.4,8.61,1.15,0,0,2.87,0.57,4.02,0.57,24.67,0,0,0,0.57,45.9,0,9.18,0,0,0
 60-70,0.98,0,0,0,18.65,0,0.98,0.98,15.7,39.26,2.94,0,0,0,0.98,0,4.91,0,71.65,0,0,0,1.96,58.89,0,20.61,0,0,0
 72-82,5.89,1.96,1.96,0.98,18.65,0,0,0,56.94,115.84,0.98,0,0.98,5.89,2.94,0,12.76,0,63.81,0.98,0,0,4.91,83.44,0,17.67,0,0,0
 84-94,0,4.25,1.06,0,18.05,0,0,0,36.11,195.41,2.12,1.06,1.06,4.25,6.37,0,9.56,0,41.42,2.12,0,1.06,2.12,174.17,0,13.81,1.06,0,0
 96-106,1.09,9.84,2.19,1.09,6.56,1.09,0,1.09,55.74,114.75,1.09,0,1.09,3.28,2.19,0,7.65,1.09,34.97,0,0,1.09,4.37,167.21,0,9.84,1.09,1.09,0
108-118,0,10.72,3.83,0,10.72,0,0,0,42.13,41.36,0,0,0,4.6,1.53,0,2.3,0.77,36.77,2.3,1.53,0,0.77,146.3,0,6.13,0.77,0,0
120,0,1.96,1.96,1.96,5.88,0,0,0,39.2,19.6,0,0,0,1.96,1.96,0,1.96,0,25.48,3.92,0,0,0,99.95,0,1.96,1.96,0,0
