stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,144.96,2727.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0
  5-6,36.78,668.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,12.26,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,7.89,0,0,0,0,0,0,0,60.46,5.26,0,21.03,0,5.26,0,0,0,0
 10-12,0,3.15,6.29,0,0,15.73,0,0,0,0,0,0,0,94.41,0,0,22.03,0,9.44,0,0,0,0
 14-21,0,0,0,2,2,5,0,0,1,0,1,0,0,32,0,0,0,3,0,1,14,9,1
 24-34,0,0,0,0.82,0.82,3.28,0,0,0,0,0.82,0,0,7.39,0,0,0,3.28,0,0,1.64,0.82,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,4.83,0,0,0,1.61,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0.57,3.44,0,0,0,2.3,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,3.93,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,3.93,0,0.98,0,2.94,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,0,1.06,0,0,0,3.19,0,0,0,5.31,0,0,0,0,0
 96-106,0,0,0,1.09,0,2.19,1.09,0,0,1.09,0,0,1.09,3.28,0,1.09,0,8.74,2.19,0,0,0,0
108-118,0,0,0,3.06,0,0,0,0,0,2.3,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,3.92,0,1.96,0,3.92,1.96,0,0,0,0
