stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,21,2,0,12,0,0,0,3,1,0,0,1,0,0,0,2,12,0,0,6,146,0,0,0,1,0,6,35,1,0,40,57,0,0,3,0,0
 24-34,0,0.82,2.46,10.67,0,0,34.48,0,0,0.82,4.93,0.82,0.82,0,0.82,0,0,0,0.82,22.98,0,0,9.85,206.86,0.82,3.28,4.1,0,0,4.1,0,0,0,7.39,50.89,0,0,4.1,0,0.82
 36-46,0,0,0,11.28,0,0,72.51,0.81,1.61,0.81,16.92,1.61,0.81,2.42,0.81,1.61,0.81,0.81,0.81,33.03,0,1.61,11.28,271.51,0.81,5.64,4.03,0,0,9.67,0,0.81,0.81,0,48.34,0,0,2.42,0,0.81
 48-58,0,0,0,5.74,0.57,0,121.07,0.57,1.15,4.59,24.67,1.15,2.3,1.15,1.15,0.57,1.72,0.57,0.57,50.49,0,0,6.89,198.54,0.57,2.3,2.3,0,0,1.72,0.57,0.57,0.57,0,35,0,0.57,3.44,0,1.72
 60-70,0,0,0,11.78,0.98,0,128.58,0,0,0,22.58,1.96,0.98,2.94,0.98,0,0.98,0,0.98,50.06,0,0.98,7.85,116.8,0,5.89,0.98,0,0.98,5.89,0,0,0,0,11.78,0,0.98,1.96,0,1.96
 72-82,0,0,0,3.93,2.94,0,76.57,0,1.96,3.93,23.56,1.96,3.93,2.94,0,0.98,2.94,0,0,38.28,0.98,0.98,4.91,96.2,0.98,6.87,4.91,0,0,1.96,0,0,0,0,5.89,0.98,1.96,7.85,0,0
 84-94,0,1.06,0,14.87,3.19,1.06,45.67,2.12,1.06,1.06,11.68,6.37,2.12,12.74,2.12,0,0,2.12,2.12,32.92,3.19,1.06,5.31,47.79,0,2.12,7.43,0,1.06,13.81,0,2.12,0,0,4.25,3.19,2.12,5.31,0,0
 96-106,0,2.19,0,19.67,0,0,50.27,0,3.28,1.09,30.6,7.65,1.09,8.74,5.46,3.28,4.37,0,0,33.88,1.09,3.28,6.56,54.64,0,12.02,4.37,0,0,7.65,0,4.37,0,0,3.28,3.28,1.09,6.56,2.19,0
108-118,0,1.53,0,18.38,4.6,0.77,32.17,0.77,6.13,3.83,22.98,6.13,0.77,9.96,4.6,1.53,0.77,1.53,0,41.36,1.53,0.77,7.66,81.96,0,9.19,1.53,0,0.77,11.49,0,0.77,0,0,1.53,3.83,0.77,8.43,0.77,1.53
120,1.96,1.96,1.96,27.44,11.76,0,31.36,1.96,5.88,1.96,29.4,7.84,1.96,7.84,1.96,0,3.92,5.88,0,37.24,1.96,0,9.8,86.23,1.96,5.88,3.92,0,1.96,27.44,0,0,0,0,0,3.92,1.96,7.84,1.96,0
