stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,3558.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,331,4670.78,12.26,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,190.02,18.39,0,0,49.04,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,78.86,89.38,123.55,0,0,0,381.16,0,0,0,0,0,118.29,0,0,0,0,0,0,0,0,0,0,0,3009.88,89.38,0,0,1519.4,0,13.14,26.29,0,0,0,0,0,0,0,0,0
 10-12,3.15,66.09,110.14,0,3.15,0,204.55,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,3.15,1733.98,12.59,0,0,758.42,0,3.15,12.59,3.15,53.5,0,0,3.15,0,0,0,0
 14-21,0,0,11,159,44,0,128,0,0,0,40,7,1,0,0,12,0,0,0,1,87,0,0,52,1522,32,4,15,62,0,67,1,124,7,2,80,398,0,7,0,0
 24-34,0,0,2.46,43.51,13.13,0,336.55,0,0.82,0.82,27.91,1.64,0,1.64,0.82,5.75,0,2.46,2.46,0,143.65,0,0.82,46.79,1615.44,27.09,9.85,13.13,0,0.82,60.74,0,0,4.93,0,8.21,321.78,0,27.09,0,4.93
 36-46,0,0,0,16.92,4.03,0,558.33,0,2.42,0,24.98,1.61,0,2.42,4.03,0.81,0.81,1.61,1.61,0.81,105.54,0.81,5.64,19.34,901.54,4.03,5.64,8.06,0,0,12.89,0,0,1.61,0,0,206.25,0,8.86,0,0.81
 48-58,0,0,0,18.94,0,0,488.31,0,0,2.87,32.71,1.15,0,0,1.72,1.15,1.15,3.44,2.3,1.15,96.97,0.57,4.59,24.1,363.22,1.72,2.87,3.44,0,0,8.61,0,0,0,0,0,57.38,0,10.33,0,4.59
 60-70,0,0,0,21.59,0.98,0,312.12,0,1.96,0.98,48.09,8.83,0,0,2.94,0.98,1.96,4.91,0,0,54.97,0.98,3.93,10.8,199.25,0,1.96,0.98,0,0,6.87,0,0,0.98,0,0,13.74,0,4.91,0,0.98
 72-82,0,0,0,20.61,0.98,0,118.78,0.98,0.98,0.98,43.19,8.83,0,1.96,2.94,2.94,0.98,0,1.96,0.98,70.68,0.98,3.93,16.69,164.92,3.93,0,7.85,0,0.98,6.87,0,0,0,0,0,8.83,0,19.63,0,0.98
 84-94,0,0,0,32.92,5.31,0,93.46,0,0,2.12,28.68,6.37,0,0,10.62,1.06,3.19,1.06,1.06,0,58.41,1.06,4.25,16.99,112.58,5.31,1.06,7.43,0,0,6.37,0,0,3.19,0,0,4.25,3.19,9.56,2.12,0
 96-106,0,0,0,20.76,2.19,3.28,74.31,0,0,1.09,19.67,4.37,0,1.09,4.37,1.09,2.19,1.09,2.19,0,37.16,1.09,4.37,7.65,99.45,0,3.28,1.09,0,0,9.84,0,0,3.28,0,0,0,2.19,7.65,1.09,2.19
108-118,0,0,0.77,16.09,5.36,3.06,62.04,0,0,1.53,25.28,2.3,0,0,6.89,0,4.6,1.53,2.3,1.53,26.04,0.77,1.53,10.72,118.72,0.77,2.3,1.53,0,0,7.66,0,0,0.77,0,0,2.3,1.53,6.89,0.77,0
120,0,0,0,7.84,11.76,0,68.59,0,0,1.96,37.24,3.92,0,0,9.8,0,0,1.96,1.96,0,15.68,0,0,13.72,141.1,0,0,0,0,0,5.88,0,0,0,0,0,0,0,9.8,0,0
