stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,15.73,0,6.29,9.44,0,0,0,0
 14-21,0,0,0,0,2,2,0,0,0,0,1,0,0,0,3,0,0,9,1,2,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,7.39,0.82,0,4.1,0,2.46,0,3.28
 36-46,0,0,0,0,0.81,0,3.22,0,0.81,0,0.81,0,0,0.81,8.86,0,0,0.81,0,0,0,1.61
 48-58,0,0,0,0,1.72,0,4.02,1.72,0,0,1.15,0,0,0.57,17.79,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0,0,7.85,0,0,0,3.93,0,0.98,0,9.82,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,10.8,0.98,0,0,0.98,0,0,0,15.71,0,0,0,0,1.96,0,0
 84-94,0,0,1.06,0,1.06,0,7.43,0,0,0,2.12,0,0,0,11.68,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,4.37,0,0,0,0,1.09,0,0,3.28,0,0,0,0,2.19,0,0
108-118,0,0,0.77,0,0.77,0,6.89,1.53,0,1.53,0,0,0,0,6.89,0,0,0.77,0,0,0.77,0.77
120,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,15.68,0,0,1.96,0,1.96,0,0
