stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,7,0,0,0
 24-34,6.57,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0.82,123.13,0.82,0.82,1.64,0,0,1.64,0,32.01,0,0,0
 36-46,2.42,0,1.61,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,15.31,0,4.03,207.06,0,8.06,2.42,0,0,0.81,0,39.48,0.81,1.61,0
 48-58,2.3,0,1.72,0,25.25,0,0,0,0.57,0,0,0,0,0,0,0,0,20.66,0.57,3.44,198.54,0.57,7.46,1.15,0,0,0,0.57,39.59,0.57,0.57,0
 60-70,1.96,0,0,0,48.09,0,0,0,5.89,0,0,0,0,0,0,0,0,40.24,2.94,2.94,274.83,0,6.87,0.98,0,0.98,0,0,53.98,0,4.91,0
 72-82,7.85,0,1.96,0,81.48,0,0,0.98,12.76,0.98,0.98,0,0,0,0,0,0,40.25,1.96,1.96,353.4,0,11.78,5.89,0,4.91,0.98,0,15.71,0.98,11.78,0
 84-94,4.25,0,6.37,0,66.91,0,0,0,3.19,0,0,0,0,0,1.06,0,0,22.3,3.19,2.12,180.55,0,8.5,5.31,0,1.06,1.06,0,6.37,0,5.31,1.06
 96-106,5.46,0,6.56,0,71.04,0,0,0,10.93,1.09,3.28,0,1.09,1.09,0,0,1.09,28.41,0,4.37,175.95,0,14.21,6.56,0,4.37,1.09,0,5.46,2.19,6.56,1.09
108-118,1.53,0,5.36,1.53,56.68,0.77,0,1.53,17.62,0.77,2.3,1.53,0,0,0,0.77,0,22.98,2.3,0.77,168.51,0.77,7.66,7.66,0,9.19,0.77,0,3.06,0.77,2.3,3.06
120,1.96,0,3.92,0,62.71,0,1.96,0,23.52,0,1.96,0,0,0,0,0,0,7.84,0,1.96,203.82,0,3.92,3.92,0,3.92,0,0,9.8,0,1.96,0
