stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0,19,596,3,0,0,2,0,0,0,3,0,162,122,61,0,0,0,0,1
 24-34,0,0,5.75,0,10.67,3.28,0.82,2.46,4.1,0,0,0,0,0,0.82,0,0,0.82,82.09,0,0,83.73,1063.83,4.1,1.64,0,0,0,3.28,0,0.82,0,55,90.29,124.77,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,18.53,4.83,0,2.42,15.31,0,0,0.81,0.81,0.81,0,0,0,0,201.42,0,0.81,24.17,1134.38,0,0,0.81,0,0,2.42,0,0.81,0.81,24.98,1.61,190.14,0,0,0.81,0,0
 48-58,0,0.57,6.89,1.15,104.43,2.3,0.57,5.16,56.81,0,0,2.3,0.57,0,0.57,0.57,0,0,235.83,0.57,1.15,14.35,1160.23,2.3,1.15,2.3,0,0,5.16,0,0,0,17.21,0,216.32,0,0,2.87,0,3.44
 60-70,0,0,0.98,0.98,47.11,1.96,2.94,0.98,50.06,0,0,0,0.98,0,0,0,0.98,0,224.77,0.98,0,14.72,819.57,0.98,0,0.98,0,0.98,1.96,0,0,0,4.91,0,130.54,0,0,0,0,0
 72-82,0,0,8.83,2.94,101.11,2.94,0,0,75.59,0.98,0,2.94,0,0,0,0.98,0,0,282.72,0,0.98,35.34,720.54,0,0,0,0,1.96,0.98,0,0,0.98,0.98,0,60.86,0.98,2.94,1.96,1.96,5.89
 84-94,0,0,13.81,2.12,104.08,5.31,1.06,0,52.04,1.06,0,2.12,3.19,0,1.06,0,1.06,0,265.51,2.12,2.12,49.92,433.31,0,0,1.06,0,0,2.12,0,0,0,9.56,0,38.23,0,2.12,0,0,0
 96-106,0,0,18.58,5.46,90.71,8.74,2.19,2.19,71.04,1.09,0,1.09,1.09,1.09,1.09,1.09,1.09,0,251.35,0,0,46.99,372.66,0,1.09,0,0,0,3.28,0,0,0,3.28,0,21.86,0,0,2.19,0,1.09
108-118,0,0,11.49,3.06,28.34,7.66,1.53,0,49.79,0.77,0,0,1.53,0,0,0,3.06,0,193.02,0.77,0.77,75.83,451.92,0,0,1.53,0,0,2.3,0,0,0,3.83,0,13.79,0,1.53,2.3,0.77,0
120,0,0,7.84,0,50.95,5.88,0,1.96,60.75,0,0,5.88,0,0,0,0,1.96,0,178.34,0,0,92.11,476.23,1.96,0,0,0,0,3.92,0,0,0,0,0,1.96,0,1.96,1.96,0,0
