stage,blastomeres,eye,glial,gut,hatching_gland,heart,immune,mesenchyme,mural_cell,neural,otic,periderm,pronephros,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,9,0,1,0,3
 24-34,0,0.82,1.64,0,0,0,0,0,0,42.68,0,0,1.64,10.67
 36-46,0,0,3.22,0,0.81,0.81,0,0.81,0,19.34,0,0,1.61,8.86
 48-58,0,2.3,3.44,0,0,0,0,0,0,8.03,0,0,2.87,4.02
 60-70,0,8.83,4.91,0,0,0,0,0.98,0,1.96,0.98,0,1.96,0.98
 72-82,0,5.89,3.93,0,0,0,0,0,0.98,2.94,0,0,4.91,0
 84-94,0,5.31,2.12,0,0,0,1.06,1.06,0,2.12,0,0,4.25,0
 96-106,0,3.28,1.09,1.09,0,0,0,0,0,1.09,3.28,0,1.09,0
108-118,0,5.36,0.77,0.77,0,0,0,0,0,2.3,1.53,0,0,0
120,0,3.92,5.88,1.96,0,0,0,0,0,0,0,0,0,1.96
