stage,epidermis,eye,fin.epithelia,glial,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,pronephros,slow.muscle,spinal.cord
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0.82,4.93,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0,0.81
 48-58,0,1.72,0,0.57,0,0.57,0.57,4.02,0.57,0,0,0.57,1.15
 60-70,0,2.94,0.98,0.98,0,0,0,5.89,0.98,0,0,0,0.98
 72-82,0.98,2.94,0,0,0,0,0,5.89,0,0,0,0,0
 84-94,0,0,0,1.06,0,2.12,0,1.06,0,0,1.06,0,0
 96-106,0,3.28,0,0,0,4.37,0,0,0,1.09,0,0,0
108-118,0,0.77,0,0,0.77,0,0.77,1.53,0,2.3,0,0,0
