stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,22.03,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0
 24-34,0,0,0,1.64,0.82,0,0,0.82,0.82,0.82,0.82,17.24,0,0,0,1.64,0.82
 36-46,0,0,0,5.64,0,0,0,0,0,2.42,0,13.7,0,0,0,0,0
 48-58,0,0,0,5.16,0,0,0,0,0,0,0,3.44,0.57,0,0,2.3,0
 60-70,0,0,0,2.94,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0,2.94,0,1.96,0,0,0,1.96,0,0.98,0,0,0,0,0
 84-94,0,0,1.06,2.12,0,0,0,0,1.06,2.12,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,1.96,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
