stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,3.22,0,0,0
 48-58,0,0.57,0,0,0,0,0.57,0,0.57,0,0,2.87,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,0,2.94,0,0.98,0.98,0,0,0
 72-82,0.98,1.96,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0
 84-94,1.06,0,1.06,0,0,0,0,0,0,0,0,15.93,1.06,0,0
 96-106,2.19,1.09,0,0,0,1.09,0,1.09,0,0,0,34.97,0,0,0
108-118,0.77,0,0,0.77,0,0,0.77,0.77,1.53,0,0,36,0,0,0
120,1.96,0,0,0,0,0,0,1.96,1.96,0,0,25.48,0,1.96,0
