stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,1.64,0,1.64,0.82,0,0,0.82,0,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,3.22,0,0,10.47,0,0,0.81,0,3.22,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0.57,1.72,0.57,1.72,13.2,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,3.93,0,0,0,0,0.98,2.94,0,0.98,12.76,0,0,0,0,0.98,0,0,0,0
 72-82,1.96,0,0,1.96,0.98,0,1.96,0,0,1.96,0,0,9.82,0.98,0.98,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,0,1.06,0,1.06,0,0,0,1.06,0,1.06,5.31,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,1.09,5.46,0,0,4.37,0,1.09,0,0,0,2.19,0,1.09,2.19
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,1.53,0,0.77,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
