stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,3,1,0,0,0,1,0,0,1,1,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,1.64,0,0,13.95,0,2.46,3.28,1.64,0,0,0,7.39,0,0,0.82,0.82,0,0,0,0.82,4.93,0,0.82,0,0.82
 36-46,0,0,1.61,0,1.61,0,0.81,0,0,0.81,22.56,0,8.06,4.83,5.64,0,0,0,11.28,0,0,0,1.61,0,0.81,0.81,0,4.03,0,2.42,0,0
 48-58,0,0,1.72,0,2.3,0,0,0.57,0,0,16.07,0,14.35,9.75,0.57,0,0,0.57,5.16,0,0,0,0,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,6.87,0,3.93,0.98,0,0.98,0,0,40.24,0,34.35,17.67,2.94,0,0,0,3.93,0.98,0.98,0.98,0.98,0,0,0,0,2.94,0,0,0,0.98
 72-82,0,0.98,45.16,0,8.83,0.98,0.98,0,0.98,0,20.61,0,29.45,32.39,8.83,0.98,0,0,16.69,0,0,2.94,0.98,0,0,0,0,0.98,0.98,0.98,0,0
 84-94,0,4.25,40.36,0,8.5,0,0,2.12,1.06,0,46.73,0,73.28,54.16,7.43,0,0,3.19,7.43,0,2.12,2.12,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,2.19,33.88,0,7.65,1.09,0,1.09,0,0,43.71,0,74.31,78.68,5.46,0,0,1.09,5.46,2.19,0,3.28,1.09,0,1.09,0,0,1.09,0,1.09,1.09,0
108-118,0,0.77,31.4,0.77,0.77,0,0,0,1.53,0,22.98,0,94.98,45.96,3.06,0.77,0.77,0,4.6,0,0,4.6,1.53,0,0.77,0,0,0,0,1.53,0,0.77
120,0,1.96,23.52,0,5.88,0,0,0,0,0,47.03,1.96,47.03,25.48,0,0,0,0,3.92,1.96,0,3.92,1.96,0,0,0,0,0,0,0,0,0
