stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,239.06,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,21.03,0,73.6,0,0,39.43,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,586.2,28.92,0,0,297.04,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,75.53,0,9.44,44.06,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,424.84,66.09,0,0,267.49,0,0,0,0,25.18,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,7,150,17,23,0,0,0,11,10,2,1,2,0,0,5,0,41,0,0,32,179,21,1,8,22,0,0,0,61,6,9,89,118,0,0,1,0,0
 24-34,0,0,0,0.82,43.51,0.82,24.63,0,2.46,1.64,13.95,0.82,0,1.64,0,0,0.82,0.82,0,44.33,0.82,0,13.13,217.53,1.64,1.64,7.39,0,0,0,0,0,0.82,0,13.13,75.52,0,0,9.03,0,1.64
 36-46,0,0,0,0.81,6.45,0,38.67,0,0,0,13.7,0,0,1.61,0,0,0,0.81,0,41.89,0,2.42,9.67,135.35,0,0,2.42,0,0,0.81,0,0,0,0,0,74.12,0,0.81,4.83,0,0.81
 48-58,0,0.57,0,0,5.74,0,24.1,0.57,0.57,1.15,29.26,0,0,2.3,0,0.57,1.15,0,0,29.26,0,1.15,3.44,52.79,0,0,2.87,0,0,0,0,0,0,0,0,41.31,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,3.93,0,21.59,0,0,0,47.11,0,0,0,0,0,0.98,0,0.98,21.59,0,1.96,1.96,15.7,0,0,2.94,0,0.98,0,0,0,0,0,0,15.7,0,0,1.96,0,0
 72-82,0,0,0,0,2.94,0.98,9.82,0,0,0,42.21,0,0,0,0,0,1.96,0,0,16.69,0,1.96,1.96,17.67,0,0.98,0,0,0,0,0,0,0,0,0,4.91,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,3.19,0,9.56,0,0,0,20.18,0,0,0,0,0,0,0,0,19.12,0,2.12,0,14.87,0,1.06,2.12,0,0,0,0,0,0,0,0,3.19,0,3.19,0,1.06,0
 96-106,0,0,0,0,1.09,0,8.74,0,0,0,22.95,0,0,0,0,0,1.09,0,0,5.46,0,1.09,0,12.02,0,0,3.28,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0
108-118,0,0,0,0,1.53,0,3.83,0,0,0,13.79,0,0,0,0,0,0,0,0,5.36,0,0,0,11.49,0,0,2.3,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,1.96,1.96,7.84,0,0,0,23.52,0,0,0,0,0,0,0,0,3.92,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
