stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,olfactory,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,2,0,1,0,4,0
 24-34,0,0,0,0,5.75,0,4.93,1.64,0,1.64,5.75,0.82
 36-46,0,0,0.81,0,0,0,4.83,0.81,0,0.81,5.64,0
 48-58,0,0,1.15,0,2.3,0,1.15,1.72,0,0,2.87,0
 60-70,0,0,0.98,0.98,9.82,0,3.93,0.98,0,0,2.94,0
 72-82,0,0,0.98,0,5.89,0,3.93,2.94,0,0,0,0
 84-94,0,0,2.12,1.06,7.43,0,2.12,2.12,0,0,0,1.06
 96-106,0,2.19,1.09,0,8.74,2.19,2.19,1.09,0,0,1.09,0
108-118,0,0.77,0,0,2.3,0.77,0,0.77,0,0,0.77,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,0
