stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,5.26,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0
 14-21,0,2,6,0,0,0,0,0,31,0,0,0,15,0
 24-34,0,0,6.57,0,0,0.82,0,0,17.24,0.82,0,0,12.31,0
 36-46,0,0.81,5.64,0,0,2.42,0.81,0,34.64,0,0,0,16.11,0
 48-58,0,0,1.72,0,0,1.72,1.72,0.57,8.61,0,0,0,1.72,0.57
 60-70,0,0,2.94,0,0,0,0.98,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0.98,0.98,1.96,0,0,0,0,0
 84-94,0,0,3.19,0,0,2.12,0,1.06,3.19,0,0,2.12,0,0
 96-106,0,0,1.09,0,1.09,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,1.53,0.77,0,0.77,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
