stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,1,1,0,3,5,0,0,0
 24-34,0,0,0,3.28,0,0,2.46,0,1.64,0,0.82,0,0.82,0.82,0.82,0,0,0.82,2.46,0,1.64,15.6,0,0.82,0,4.93,0,0,0,2.46,0,0,0
 36-46,0,0,0,2.42,0,0,3.22,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,1.61,17.72,0.81,0,0,12.89,0,0,0,4.83,0,0,0.81
 48-58,0,0,0,1.72,0,0,4.59,0,0,0,1.72,0,0,1.72,0,0,0,0,4.59,0,0,18.94,0.57,0,0,8.61,0,0,0,6.31,0,0,0
 60-70,0,0,0,0.98,0,0,7.85,0.98,0.98,0,2.94,0.98,0,0,0,0,0,0,5.89,0,0.98,33.37,0.98,0.98,0,6.87,0,0,0,4.91,0,0,0
 72-82,0,0.98,0,1.96,0.98,0,12.76,0,0.98,0,3.93,2.94,0.98,2.94,0,0,0.98,0,5.89,0,1.96,37.3,0,0,0,11.78,0,0,0,3.93,0,0,0
 84-94,0,1.06,0,7.43,0,1.06,4.25,0,2.12,0,0,0,0,12.74,1.06,0,0,0,7.43,1.06,0,9.56,1.06,0,0,38.23,0,0,0,0,0,1.06,0
 96-106,0,0,0,6.56,0,0,5.46,0,0,0,4.37,1.09,0,14.21,2.19,0,0,0,6.56,2.19,0,15.3,2.19,0,0,46.99,0,0,0,1.09,1.09,0,0
108-118,0,0,0,6.89,0.77,0,3.06,0,1.53,0.77,2.3,1.53,0,12.26,2.3,0,0,0,3.06,0,0,8.43,0.77,0,0,30.64,0,0.77,0,0.77,0,0.77,0.77
120,0,0,0,15.68,0,1.96,7.84,0,1.96,1.96,3.92,5.88,0,9.8,0,1.96,1.96,0,0,3.92,0,19.6,0,0,0,50.95,0,0,0,0,0,0,0
