stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  3-4,118.6,2029.4,0,0,0,0,0,0,0,105.42,0,0,0,0
  5-6,85.81,1176.89,0,0,0,6.13,55.17,6.13,6.13,24.52,0,0,0,0
  7-9,18.4,7.89,44.69,0,73.6,31.54,478.43,10.51,223.44,5.26,2.63,0,0,0
 10-12,0,25.18,28.32,6.29,25.18,18.88,531.84,28.32,173.08,3.15,0,18.88,9.44,3.15
