stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  5-6,49.04,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,13.14,2.63,5.26,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,6.29,3.15,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,1,1,5,0,0,0,5,0
 24-34,0,1.64,0,0,0.82,0,0,1.64,0,4.93,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0.57,0,7.46,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,0,0,0,0,11.78,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,0,13.74,0,0,0,0,0
 84-94,0,1.06,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,2.19,0,1.09,0,0,0,1.09,0,2.19,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0
