stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,8,75,0,0,0,0,0,0,1,1,1,125,22,7,0,0,1,0,0
 24-34,0,0,0,3.28,2.46,0,0,2.46,0,0,1.64,0.82,0.82,0.82,1.64,0,0,0,0,0.82,11.49,0.82,0,3.28,111.64,1.64,3.28,6.57,0,0,0.82,0,0.82,1.64,27.09,3.28,64.85,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,9.67,0,0.81,0,4.03,0.81,0,0,0,0.81,0,4.03,0.81,12.09,3.22,0.81,2.42,142.6,0.81,2.42,1.61,0,0,0,2.42,0,0.81,13.7,0,57.2,0,0,0,0,0
 48-58,0,0,0,0.57,1.15,0,0,25.25,0,0,1.15,5.16,0.57,1.15,1.15,0,0,0,2.3,0,12.05,5.16,1.72,2.3,175.01,0,1.72,7.46,0,0,1.15,0,0,0,7.46,0,44.76,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,0,0,42.21,1.96,2.94,0,27.48,0,0.98,2.94,0,0.98,0.98,3.93,0,26.5,5.89,3.93,1.96,404.39,0,0.98,5.89,0,0,0.98,0,0,0.98,5.89,0,36.32,0.98,5.89,0.98,2.94,0
 72-82,0,0,3.93,0,10.8,2.94,0,91.29,2.94,0,2.94,41.23,1.96,0,4.91,4.91,0.98,0,6.87,0.98,40.25,10.8,7.85,1.96,499.67,0.98,2.94,15.71,0,1.96,2.94,0,0,0,4.91,0,38.28,0.98,9.82,1.96,21.6,0
 84-94,0,0,2.12,0,13.81,1.06,0,69.03,1.06,1.06,2.12,25.49,5.31,3.19,7.43,1.06,1.06,0,8.5,1.06,20.18,9.56,10.62,5.31,268.7,2.12,2.12,18.05,0,1.06,5.31,0,0,0,2.12,0,23.36,3.19,4.25,2.12,27.61,0
 96-106,0,0,2.19,0,17.49,4.37,0,54.64,1.09,1.09,0,25.14,9.84,1.09,4.37,6.56,3.28,1.09,9.84,2.19,32.79,13.11,7.65,3.28,239.33,0,3.28,18.58,0,2.19,6.56,0,0,0,2.19,0,14.21,2.19,0,4.37,32.79,1.09
108-118,0,0,1.53,0.77,16.09,0.77,1.53,36.77,1.53,0.77,0.77,20.68,6.13,0,3.83,6.13,1.53,0.77,5.36,0,26.81,10.72,5.36,2.3,313.28,0,3.06,17.62,0,0.77,5.36,0,0,0.77,4.6,0,6.89,7.66,0.77,3.06,13.79,0.77
120,0,0,1.96,0,17.64,1.96,0,48.99,3.92,1.96,0,21.56,5.88,0,1.96,11.76,1.96,0,5.88,0,33.32,3.92,5.88,3.92,335.12,0,3.92,31.36,0,0,3.92,0,0,0,1.96,0,17.64,7.84,0,0,21.56,0
