stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,408.52,6470.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0
  5-6,239.06,3211.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.94,6.13,0,0,12.26,85.81,0,0,0,0,0,0,0,0
  7-9,15.77,5.26,0,10.51,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,249.73,7.89,0,0,97.26,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,18.88,3.15,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,3,4,3,0,0,0,2,1,0,31,24,6,0,0,0
 24-34,0,0,0,0,0.82,0,10.67,0.82,0,0,0,0,0,4.1,0,14.78,0,0,0,0,0,4.1,0,0,0,0,3.28,0,0,0.82,3.28,12.31,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,4.03,0,4.83,0,0.81,0,0,0.81,12.09,0,1.61,0,0,1.61,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,3.44,0.57,0,0,0,0,0,0,0,3.44,0,0.57,0,0,0,13.2,1.15,0.57,0,0,1.15,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,8.83,0,0,0,0.98,0,0,0,0,3.93,1.96,0.98,0,0,0.98,14.72,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,13.74,0,0,0,0.98,3.93,0,1.96,0,2.94,0,3.93,0.98,0,0,17.67,0,0.98,0,0,1.96,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,0,0,8.5,1.06,0,1.06,1.06,4.25,0,0,1.06,3.19,1.06,1.06,0,1.06,0,23.36,0,0,1.06,0,11.68,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,10.93,0,0,0,0,10.93,0,2.19,0,4.37,1.09,5.46,0,0,1.09,13.11,0,0,1.09,0,4.37,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,2.3,0,1.53,0,0.77,16.85,0,1.53,0.77,2.3,0,2.3,0,0,2.3,9.96,0,0,0.77,0,6.89,0,0,0,0,0,1.53,0.77,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,9.8,0,1.96,0,1.96,0,0,0,0,1.96,11.76,0,0,0,0,1.96,0,0,0,0,0,0,0,0
