stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,69.23,0,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,8,0,14,3,0,14,0,0,0,8,1,29,1,0,2,0,0,0,0,1,0,0,1,222,3,7,2,2,0,0,0,2,4,0,175,0,0,0,0,0
 24-34,0,4.1,0,2.46,1.64,0,84.55,0,0,0,6.57,0,10.67,0.82,0,1.64,0,3.28,0,0,7.39,0,0,1.64,614,0,43.51,4.1,0,0,0.82,0,0,0.82,0.82,264.32,0,0,0.82,0,0
 36-46,0,3.22,0,1.61,0,0,413.31,0,0,0,21.75,0,1.61,0.81,0.81,0,0.81,0,0,0,7.25,3.22,0,1.61,1165.8,0.81,46.73,4.03,0,0,0,0.81,0,0,0,340.8,0,0,0.81,0,1.61
 48-58,0,0,0,4.02,0.57,0,882.51,0,0.57,2.87,41.89,0,5.74,0,0,1.72,0,0,0.57,0.57,8.61,2.3,0.57,1.15,1089.08,0,24.67,4.02,0,0,2.3,0,0,0,0,278.87,0,0,1.15,0,0.57
 60-70,0,3.93,0,3.93,0,0,1677.42,0,0.98,0,69.69,2.94,0.98,0.98,2.94,0,0,0,0,0,9.82,2.94,0.98,1.96,1463.45,0,22.58,8.83,0,0.98,0.98,0,0,1.96,0,231.64,0,0,0.98,0.98,1.96
 72-82,0,11.78,0,15.71,1.96,0,1737.54,2.94,0,0.98,100.13,11.78,2.94,1.96,0.98,0,0,0,1.96,0,30.43,7.85,0,1.96,1200.57,0,37.3,10.8,0,0,1.96,0,0,0,0,135.47,0.98,0.98,3.93,4.91,1.96
 84-94,0,10.62,0,11.68,1.06,0,1119.39,0,1.06,2.12,90.27,6.37,6.37,2.12,1.06,0,1.06,3.19,1.06,0,33.99,10.62,3.19,1.06,603.24,0,31.86,12.74,0,0,4.25,0,0,1.06,0,63.72,1.06,1.06,2.12,1.06,0
 96-106,0,3.28,0,20.76,2.19,0,867.72,2.19,1.09,1.09,81.96,14.21,0,1.09,2.19,1.09,1.09,4.37,1.09,1.09,20.76,4.37,1.09,1.09,539.87,0,36.06,36.06,0,0,9.84,0,0,0,0,43.71,2.19,1.09,2.19,0,1.09
108-118,0,3.83,0,9.96,3.06,1.53,577.54,0,0,0,46.72,13.02,0,0.77,0.77,0,0,0,0.77,0,14.55,4.6,1.53,0.77,566.05,0,26.04,13.02,0,0,0,0,0,2.3,0,16.85,3.83,1.53,0.77,1.53,0
120,0,7.84,0,7.84,0,0,419.39,0,1.96,0,56.83,9.8,0,1.96,3.92,0,1.96,0,1.96,0,13.72,3.92,1.96,1.96,580.1,1.96,23.52,17.64,0,0,1.96,0,0,0,0,17.64,0,0,1.96,0,0
