stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,6,26,0,0,2,18,0,0,0,3,0,0,0,0,0,1,0,0,0
 24-34,0,0,1.64,0.82,0,0,32.83,0,0.82,0.82,4.93,0,0.82,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,41.09,0,0,0.81,1.61,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,45.9,0,0.57,0.57,2.87,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,2.94,0,0,42.21,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,1.96,1.96,0,0,81.48,0,1.96,0,2.94,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,1.06,113.64,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,1.09,2.19,0,0,1.09,137.7,1.09,2.19,0,0,0,0,0,1.09,1.09,0,0,4.37,0
108-118,0,2.3,0,0,0.77,0.77,118.72,0,0.77,0,0.77,0,0,0,1.53,0,0,0,3.06,0
120,0,1.96,3.92,1.96,0,0,86.23,0,1.96,0,1.96,0,0,0,1.96,1.96,0,0,1.96,0
