stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,19,0,0,0,0,1,1,0,3
 24-34,0,0,0,3.28,0,0,0,0,1.64,0,32.83,0,0.82,0,0.82,129.7,0,0,0,0,0,4.93,0,12.31
 36-46,0,0,0,0.81,0,4.83,0,0,0.81,0,24.17,0.81,0,0,0,208.67,0.81,0,0,0,0,22.56,0,5.64
 48-58,0,1.15,0,6.31,0,5.16,0,0,0.57,0,16.07,1.72,0,0,0.57,224.93,0,0.57,0,0,0,34.43,0,9.18
 60-70,0,0,0,12.76,0,35.33,0,0,4.91,0,6.87,3.93,0,0,0,234.58,0,0.98,0,1.96,0,22.58,0,1.96
 72-82,0,0.98,0,11.78,0,114.85,0.98,0,16.69,0.98,5.89,7.85,0,0,0,159.03,0,3.93,0,0.98,0,12.76,0,0
 84-94,0,2.12,0,13.81,0,92.4,0,1.06,3.19,0,6.37,4.25,1.06,1.06,0,74.34,1.06,2.12,0,1.06,0,6.37,1.06,1.06
 96-106,0,1.09,0,13.11,3.28,110.38,0,1.09,2.19,0,5.46,7.65,0,1.09,0,51.36,0,0,0,0,0,1.09,0,0
108-118,0,0,0,6.13,0,100.34,0,0,4.6,0,3.83,9.96,0,0,0,58.21,0.77,1.53,0,0.77,0,1.53,1.53,0.77
120,0,0,1.96,19.6,0,96.03,0,0,5.88,0,3.92,1.96,0,0,0,64.67,0,0,0,0,0,0,0,0
