stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,8,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,188.8,0,7.39,0,0,0,0,34.48,0,0,0,0
 36-46,0,0,0,0,0,45.12,0,0,2.42,0,0.81,0,0,0,0,0,0,0,411.7,0,0,0,0,0,0,85.4,0,0,0,0
 48-58,0,0,0,1.72,0,126.24,0.57,0,5.16,0,0,0,0,0,0,2.3,0,0,443.55,0,1.72,0,0,0,0,66.56,0,0,0,0
 60-70,0,0,0,1.96,0,328.81,0,0,5.89,0,0,0,0,0,0.98,0.98,0,0,548.67,0,0.98,0,0,0,0.98,75.58,0,0.98,0,0
 72-82,0,0.98,0,3.93,0.98,414.26,0,0,6.87,0,0,0,0,0.98,0,2.94,0,0,557.58,0,4.91,0,0.98,0,0,32.39,0,0,0.98,0
 84-94,0,1.06,0,4.25,0,226.21,0,0,19.12,1.06,0,1.06,0,0,0,3.19,2.12,0,196.48,1.06,2.12,4.25,0,1.06,0,27.61,0,0,1.06,0
 96-106,0,0,0,2.19,0,114.75,0,0,7.65,0,0,0,0,1.09,0,1.09,0,0,111.47,0,5.46,0,0,0,0,9.84,0,0,0,1.09
108-118,0,0,0,2.3,0.77,103.41,0,0,3.06,0.77,0,0,0,0,0,3.06,0,0,173.87,0,2.3,2.3,0,0,0,5.36,0.77,0,0,0
120,0,3.92,0,9.8,0,105.83,0,1.96,7.84,0,0,0,3.92,0,0,3.92,0,3.92,211.66,0,3.92,3.92,0,3.92,1.96,3.92,0,0,0,0
