stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,7.89,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,6.29,0,0,37.76,0,6.29,0,12.59,0,6.29,0,0,0,0
 14-21,0,0,0,2,23,3,0,17,0,0,0,1,0,0,0,0,0,0,13,6,13,0,7,70,3,0,2,1,0,1,15,0,1,15,27,0,1,0
 24-34,0,0,0,1.64,4.1,0,0,16.42,0,0,0.82,1.64,0.82,0,0.82,0,0,0,18.88,30.37,5.75,0,0.82,45.15,0,0,2.46,0,0,0,0,0,0,0,7.39,0,2.46,2.46
 36-46,0,0,0,0,0.81,0,0,9.67,0,0,0,0,0,0,0,0,0,0,8.06,3.22,6.45,0.81,1.61,17.72,0,0,0,0,0.81,0,0,0,0,0,1.61,0,1.61,0
 48-58,0,0,0.57,0,1.15,0,0,6.89,0,0.57,0,1.15,0,0,0,0.57,0,0,1.72,0,4.02,0,0.57,5.16,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.96,0,0,0.98,0,3.93,0,0,0.98,0.98,0,0,0,0.98,0,0,3.93,0,3.93,0,0,7.85,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,1.96,0,0,6.87,0.98,0,0,2.94,0.98,0,0,0,0,0,0.98,0,4.91,0,0.98,7.85,0,0.98,0,0,0,0,0,0,0,0,0.98,0,1.96,0
 84-94,0,0,1.06,0,2.12,0,0,7.43,0,0,2.12,3.19,2.12,0,0,0,0,1.06,0,0,6.37,0,0,6.37,0,0,1.06,0,0,0,0,0,0,0,0,0,3.19,0
 96-106,0,0,1.09,0,1.09,0,0,10.93,0,0,1.09,1.09,3.28,0,0,1.09,1.09,0,0,0,2.19,0,0,1.09,0,0,4.37,0,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,1.53,0,0.77,0,0.77,6.89,0,0,0,3.83,1.53,0,0,0,0,0,0,0,6.13,0,0.77,4.6,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,3.92,0,0,0,1.96,1.96,0,0,0,0,0,0,0,7.84,0,0,11.76,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
