stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,8,0,0,0,0,0,0,0,2,0,2,4,0,0,1,0,3,2,0,0,0,3,0
 24-34,0,0,1.64,0,0,0,0,0,0,1.64,0,0.82,5.75,0,0,0,0,0,0.82,0.82,0.82,0,1.64,0
 36-46,0,3.22,1.61,0.81,0,0.81,0,0,0,0,0,0.81,15.31,0,0,0,0,0,0.81,0,4.03,0,0.81,0
 48-58,0,0,13.77,0,0,0,0.57,0.57,0,5.74,0,0,14.92,0,0,0,0,0,0,0,1.72,0,0.57,0
 60-70,0,1.96,15.7,0,0,0,1.96,0,0,9.82,0,0.98,21.59,0,0,0,0,0,0,0,5.89,0,0.98,0
 72-82,0,0.98,12.76,0,0,0,1.96,1.96,0.98,26.5,0.98,0,40.25,0,0,0,0,0,0,0,3.93,0,0.98,0.98
 84-94,1.06,0,14.87,0,1.06,0,0,1.06,0,20.18,0,0,18.05,2.12,0,0,0,0,1.06,0,1.06,0,1.06,2.12
 96-106,0,0,15.3,0,1.09,0,3.28,4.37,0,18.58,4.37,0,19.67,0,0,0,2.19,0,0,0,2.19,0,3.28,3.28
108-118,0,0,12.26,0,0,0,0.77,5.36,0,18.38,0,0.77,28.34,2.3,0.77,0,0,0,0,0,0,0,0.77,0.77
120,0,0,9.8,0,0,0,3.92,3.92,0,11.76,0,0,19.6,0,0,0,0,0,1.96,0,0,1.96,0,3.92
