stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.2,3109.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988.35,0,0,0,0,0,0,0,0
  5-6,110.33,717.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,606.83,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,57.83,2.63,0,0,18.4,68.35,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,157.35,0,0,0,3.15,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,9,248,1,0,0,5,0,1,11,0,0,32,1,0,0,0,4,0,6,0,1,3,0,110,1,0,0,1,0,0,0,0
 24-34,0,0,0,6.57,114.1,0,1.64,0,19.7,0,0,2.46,1.64,0.82,22.98,4.1,0.82,0,0.82,1.64,2.46,12.31,0,4.1,3.28,0,162.53,0,0.82,0.82,4.93,0,0,0,0
 36-46,0,0,0,0,33.03,0,4.03,0,11.28,0,0.81,0,0,0,9.67,7.25,0,0,2.42,4.83,0,16.11,0,6.45,5.64,0,115.21,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0.57,25.25,0.57,3.44,0,10.9,0,0,1.72,0,0,4.59,6.89,0.57,0.57,1.15,2.3,0,10.9,0,4.02,2.87,0,105.58,0,0,0,2.87,0,0,0,1.15
 60-70,0,0,0,0,35.33,0,3.93,0,7.85,0,0,3.93,0.98,0,10.8,3.93,0.98,0,1.96,3.93,1.96,6.87,0,0.98,3.93,0,88.34,0,0,0,0.98,1.96,0.98,0,0
 72-82,0,0,0.98,0.98,44.17,1.96,4.91,0.98,2.94,0,3.93,23.56,0,0.98,11.78,8.83,0,0,1.96,11.78,0.98,11.78,0,5.89,2.94,0,114.85,0,0,0,0.98,0.98,0.98,0.98,0
 84-94,0,0,4.25,0,77.53,1.06,1.06,0,30.8,0,1.06,32.92,0,0,18.05,7.43,2.12,0,2.12,8.5,1.06,4.25,0,10.62,8.5,0,331.36,0,0,0,1.06,8.5,1.06,1.06,0
 96-106,0,0,2.19,0,90.71,0,3.28,0,19.67,0,1.09,45.9,0,2.19,28.41,8.74,0,0,1.09,6.56,0,9.84,0,10.93,3.28,0,242.61,0,1.09,0,0,8.74,1.09,0,0
108-118,0,0,1.53,1.53,85.79,1.53,2.3,0,30.64,0.77,0,39.83,0,3.83,29.87,9.96,2.3,0,2.3,7.66,0,7.66,0,7.66,0.77,0,184.6,0,0.77,0,0,9.19,0,0,0
120,0,0,0,0,80.35,0,5.88,0,17.64,0,0,37.24,0,0,13.72,0,1.96,0,1.96,3.92,0,11.76,0,0,0,0,115.63,0,0,0,0,3.92,0,0,0
