stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,24.52,324.87,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,2.63,0,0,18.4,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,16.42,0,0.82,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,41.09,0,3.22,0,0,0,0,0,0,3.22,0.81,0
 48-58,0,0,0,0,1.15,0,4.59,0,0,0,0.57,0,0,0,0,0,0,0,1.72,0.57,57.38,0,1.72,0.57,0,0.57,0,0,0,2.3,0.57,0
 60-70,0,0,0,0,0.98,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,89.32,0,1.96,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,0.98,18.65,0.98,0,0.98,4.91,0.98,0,0.98,0,0,0.98,0.98,10.8,0,91.29,0,5.89,0,0,1.96,0,0,0.98,3.93,0,0.98
 84-94,0,0,0,0,1.06,0,11.68,0,0,0,2.12,0,0,0,0,0,0,0,2.12,1.06,38.23,0,5.31,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,8.74,0,0,0,4.37,0,0,0,0,0,0,0,1.09,2.19,36.06,0,2.19,0,0,3.28,0,0,0,2.19,0,0
108-118,0,0,0.77,0,0,0,3.06,0,0,0,0,0,0,0,0.77,0,0.77,0,0.77,0,43.66,0,2.3,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.88,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0,48.99,0,1.96,0,0,1.96,0,0,0,1.96,0,0
