stage,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,1,0,0,0,1,0,0,2,0,0,0,3,0,0,1,1,1,5,3,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0.82
 36-46,0,0.81,0.81,0,0,0,0,0,0,0.81,3.22,0,0.81,0,0,0,0,0,3.22,0,0
 48-58,0,1.15,0,0,0,0,0,0.57,0,0,1.72,0,0,1.15,0,0,0,0,0.57,0.57,0.57
 60-70,0,2.94,0,0,0,0,0,0,0,0.98,3.93,0,0,1.96,0,0,0,0,0,0.98,0
 72-82,0,0.98,0.98,0,0,0,0,0,1.96,0,0.98,0,0,0.98,0,1.96,0,0,0,1.96,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,1.06,4.25,0,1.06,6.37,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,0,0,2.19,0,0,1.09,0,0,0,0,2.19,0,1.09,0,0,0,3.28,0
108-118,0,0,0,0,0,0.77,0,0,0.77,0,2.3,0,0,3.06,0,0.77,0,0,0,3.06,0
120,0,1.96,1.96,1.96,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0
