stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,4.1,0,1.64,0,0,8.21,0.82,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0.81,0.81,0,0,0,0,3.22,0,0,0,0
 48-58,0,0.57,0,0.57,1.15,0,0,0.57,0,0,0.57,0,0.57,0.57,0,0.57,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0.98,0,0,0,0,0,1.96,0,0,1.96,0.98,0,0,0,0.98,2.94,0,0,0
 72-82,0,0.98,6.87,8.83,0,0.98,0,0,0,0,0.98,0,0,4.91,0,1.96,0,0,0.98,0.98,2.94,0,0
 84-94,0,3.19,9.56,1.06,1.06,0,0,0,0,0,4.25,0,0,5.31,0,0,0,0,6.37,1.06,0,0,0
 96-106,0,3.28,21.86,15.3,2.19,1.09,0,0,0,0,3.28,0,0,6.56,0,3.28,1.09,0,7.65,0,0,0,1.09
108-118,0,4.6,9.96,6.89,3.06,1.53,0,0,0,0.77,5.36,0.77,0,6.13,0,1.53,1.53,0,5.36,5.36,0.77,0.77,0
120,0,3.92,15.68,7.84,1.96,0,1.96,0,0,0,3.92,0,0,5.88,0,1.96,0,0,0,1.96,1.96,0,0
