stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,9.44,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,67,0,0,0,2,0,5,2,0,0,36,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,11.49,0,0.82,0,14.78,0,0,0.82,0.82,0,0,5.75,0,0,2.46,270.06,0,4.93,2.46,0,0,8.21,0,0,0.82,100.14,0,0,0,0
 36-46,0,0,0,0,0.81,0,76.54,0,0,0,13.7,0,0,0,1.61,0.81,0,13.7,0,0,0.81,283.6,0,3.22,0.81,0,0,4.03,0,0,0,95.87,0,0,0,0
 48-58,0,0,0,0,0,0.57,113.61,0,0,0,21.8,0,0,1.72,0,0,0.57,21.23,0.57,1.15,4.02,208.29,0,1.15,1.72,0,0,1.72,0,0,0,57.95,0,0,0,0
 60-70,0,0,0,0,2.94,0,99.13,0,0,0,45.15,1.96,0,0,1.96,0,0,28.46,0,0.98,0.98,186.49,0,0.98,0.98,0,0.98,0.98,0,0,0,39.26,0,0,0,0
 72-82,0,0,0,0,1.96,0.98,72.64,0,0,0.98,67.73,1.96,0.98,1.96,1.96,0.98,0,55.95,0,1.96,2.94,160.99,0,1.96,0.98,0,0,1.96,0,0,0,14.72,0,0,0.98,0
 84-94,0,0,1.06,1.06,7.43,0,35.05,0,0,0,37.17,3.19,0,2.12,2.12,1.06,0,44.61,0,3.19,1.06,116.82,0,3.19,1.06,0,0,2.12,0,1.06,0,14.87,0,2.12,0,0
 96-106,0,0,1.09,0,5.46,2.19,29.51,1.09,0,0,41.53,4.37,0,5.46,6.56,1.09,1.09,29.51,0,1.09,1.09,73.22,1.09,6.56,3.28,0,0,2.19,0,0,0,5.46,0,4.37,3.28,0
108-118,0,0,0,0,6.13,0,25.28,0,0,0,35.23,1.53,0,5.36,3.06,0,0.77,16.09,0,3.06,0.77,107.23,0,1.53,2.3,0,0,2.3,0,0,0,6.13,0.77,1.53,0,0.77
120,0,0,0,0,3.92,3.92,11.76,1.96,1.96,1.96,29.4,3.92,0,5.88,1.96,0,0,9.8,0,0,0,76.43,0,1.96,5.88,0,0,1.96,0,0,0,3.92,1.96,0,0,0
