stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,11,1,0,6,0,0,1,0,1,0,0,0,0,2,6,0,0,5,83,2,0,2,4,4,7,0,18,17,0,2,0,0
 24-34,0,4.93,0.82,0,9.85,0,0,0.82,2.46,0,0,0,0,0.82,0,7.39,0,0,6.57,60.74,0,0.82,0.82,0,1.64,0,0,1.64,19.7,0,4.93,0,0
 36-46,0,1.61,0,0,12.89,0,0.81,4.03,0,0,0.81,1.61,0,0,0.81,8.06,0,0,4.03,41.89,0,0,0,0,1.61,0,0,0,8.86,0,0.81,0,0.81
 48-58,0,1.72,0,0,18.94,0,0,2.3,0,0,0.57,0,0,0.57,0,12.62,0,1.15,1.15,16.64,0,0.57,0,0,0.57,0,0,0,4.59,0,1.15,0,0
 60-70,0,1.96,0,0,18.65,0.98,0,0,1.96,0,0,0,0,0,0,7.85,0,0,5.89,17.67,0.98,0,0,0,6.87,0,0,0,1.96,0,0.98,0,0
 72-82,0,2.94,0,0,8.83,0,0.98,4.91,0,0,0.98,0,0.98,0,0,11.78,0,0,3.93,12.76,0,0,0,0,14.72,0,0.98,0,0,0,2.94,0.98,1.96
 84-94,1.06,4.25,3.19,0,20.18,1.06,0,2.12,2.12,0,1.06,3.19,0,0,0,14.87,2.12,0,5.31,10.62,0,0,0,0,39.3,0,0,0,1.06,1.06,4.25,0,2.12
 96-106,0,4.37,2.19,0,10.93,2.19,0,6.56,0,0,1.09,0,3.28,1.09,0,16.39,1.09,1.09,2.19,19.67,2.19,0,1.09,0,96.17,0,0,0,3.28,0,1.09,0,1.09
108-118,0,6.13,1.53,0,9.19,4.6,3.83,6.89,1.53,0,0.77,3.06,1.53,0,0,17.62,0.77,0,0.77,14.55,0.77,1.53,2.3,0,80.43,0,0,0,0,0,0.77,0,1.53
120,0,11.76,0,1.96,21.56,1.96,0,1.96,1.96,0,0,0,0,0,1.96,9.8,0,1.96,1.96,25.48,1.96,0,0,0,119.55,0,0,0,0,0,1.96,0,0
