stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,24,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,5,18,0,0,0,0,0,2,0,4,1,5,8,0,0,0,0
 24-34,0,0,0,2.46,9.03,0,0,3.28,0,0.82,0,0.82,0.82,0,0.82,1.64,1.64,0,0,1.64,0,7.39,0,0,2.46,32.83,0,2.46,1.64,0,0,19.7,0,0,0.82,2.46,8.21,0,0,1.64,1.64
 36-46,0,0,0.81,0,1.61,0,0,6.45,0,1.61,2.42,1.61,0,0,0,1.61,0,0,1.61,0,0.81,2.42,0,0,0,27.39,0,0,0.81,0,0,15.31,0,0,0,0,7.25,0,0,0,0.81
 48-58,0,0,0,0,3.44,0,0,12.62,0,1.15,0.57,7.46,0,0.57,0.57,0.57,0.57,0,0,0,1.72,8.61,0,0,0.57,32.71,1.15,0.57,1.72,0,0,8.03,0,0,0,0,9.18,0,0,1.15,0
 60-70,0,0,0,0,6.87,0,0,16.69,0,1.96,0,3.93,2.94,0,0,0.98,2.94,0,0,0,0.98,4.91,1.96,0.98,0,13.74,0,2.94,2.94,0,0.98,8.83,0,0,0.98,0,3.93,0,0,0.98,0
 72-82,0,0,2.94,0,4.91,0,0,20.61,0,0.98,0,4.91,2.94,0,0,4.91,3.93,1.96,5.89,0,1.96,16.69,4.91,0,0.98,32.39,0,1.96,2.94,0,0,14.72,0,0,0.98,0,1.96,1.96,1.96,3.93,1.96
 84-94,0,0,1.06,0,14.87,3.19,2.12,18.05,0,2.12,1.06,2.12,4.25,0,0,3.19,3.19,0,1.06,1.06,0,4.25,1.06,0,1.06,13.81,0,3.19,2.12,0,0,26.55,0,0,3.19,0,1.06,2.12,0,1.06,1.06
 96-106,0,0,4.37,0,8.74,1.09,3.28,7.65,1.09,4.37,0,8.74,10.93,0,0,9.84,3.28,1.09,4.37,1.09,1.09,9.84,1.09,0,1.09,17.49,0,7.65,3.28,0,1.09,34.97,0,0,2.19,0,1.09,0,0,7.65,1.09
108-118,0,0,1.53,0,16.85,1.53,15.32,9.96,0,2.3,0,1.53,6.13,0,0,7.66,5.36,2.3,2.3,2.3,0,6.13,3.06,0,0.77,13.02,0,1.53,5.36,0,0,23.74,0,0,0.77,0,0,1.53,0.77,2.3,0.77
120,0,0,0,0,19.6,1.96,1.96,13.72,0,5.88,1.96,7.84,7.84,0,0,11.76,1.96,0,1.96,1.96,0,9.8,0,0,0,7.84,0,7.84,1.96,0,0,33.32,0,0,1.96,0,0,1.96,0,0,0
