stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,35,0,1,0,0,0,0,10,0,0,0,0,0
 24-34,0,0,0,0,101.79,0,0,6.57,0,14.78,0,0,0.82,0,0,0.82,0,0,0,0.82,0,3.28,1.64,0,0.82,295.51,0,13.13,2.46,0,1.64,0,87.01,0,0,0,0,1.64
 36-46,0,0,0,0,84.6,0,0,12.89,0,8.06,1.61,7.25,0,0,0,0,1.61,0.81,0,0,0,10.47,0.81,0,1.61,754.91,0,10.47,3.22,0,2.42,0,175.64,0,0,0,0,0.81
 48-58,0,0,0,0,74.02,0,0,140.01,0,12.62,1.15,33.85,0,0,0,0.57,0,3.44,0.57,0.57,0.57,37.87,1.15,0.57,3.44,1311.14,1.15,5.16,6.89,0,2.3,0.57,222.64,0,0,0.57,0,1.15
 60-70,0,0,0,0,90.3,3.93,0,319.98,0,22.58,0,84.41,0,0.98,0.98,0,5.89,13.74,1.96,0,0,74.6,0.98,0,0,2013.1,0.98,3.93,15.7,0,2.94,0,317.03,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,103.07,1.96,0,384.81,0,20.61,1.96,202.22,0.98,0,0,2.94,8.83,8.83,3.93,1.96,0,109.95,1.96,3.93,2.94,1978.05,0,8.83,34.36,0,0.98,0,314.13,1.96,2.94,1.96,0.98,0
 84-94,0,0,0,0,194.35,2.12,0,292.06,0,33.99,1.06,133.82,0,0,0,1.06,16.99,6.37,3.19,0,0,89.21,0,7.43,2.12,1030.18,0,8.5,26.55,0,3.19,0,141.25,3.19,1.06,2.12,1.06,0
 96-106,0,0,0,0,155.18,5.46,0,208.73,0,20.76,1.09,160.65,0,0,1.09,5.46,24.04,4.37,9.84,2.19,0,77.59,0,3.28,4.37,845.86,1.09,10.93,43.71,1.09,2.19,2.19,68.85,2.19,1.09,2.19,3.28,1.09
108-118,0.77,0,0,1.53,154.72,1.53,0.77,169.28,0.77,38.3,0.77,109.53,2.3,0,0,2.3,20.68,3.83,6.89,0.77,0,54.38,1.53,0.77,1.53,818.81,0.77,7.66,26.81,0.77,1.53,0,48.26,3.83,0.77,0.77,3.06,0
120,0,0,1.96,1.96,168.54,1.96,1.96,190.1,0,43.12,0,123.47,1.96,0,0,3.92,3.92,1.96,5.88,0,0,33.32,1.96,1.96,3.92,1007.33,5.88,13.72,35.28,0,1.96,0,68.59,0,0,1.96,0,1.96
