stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,110.41,2.63,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,3.15,0,0,22.03,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,7,1,9,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,5,92,1,1,0,0,0,0,11,1,0,12,38,0,1,0,0
 24-34,0,0,0,0,2.46,0,7.39,0,0.82,0,3.28,0,0,0,0,0,0,0.82,0,9.03,0,0,3.28,94.4,0.82,0.82,0.82,0,0,3.28,0,0.82,0,1.64,21.34,0,0,0,0
 36-46,0,0,0,0,4.03,0,20.14,0,0.81,0.81,8.86,0.81,0,0,0,0,0,0,0.81,6.45,0,0,2.42,105.54,0,0,0,0,0,1.61,0,0,0,0,24.98,0,2.42,0,0
 48-58,0,0,0,0,0,0,25.25,0,0,0,14.92,0,0,0.57,0,0.57,0,0,0,21.8,0,1.72,3.44,82.05,0,0,0.57,0,0,1.15,0,0,0,0,18.94,0,0.57,0,0.57
 60-70,0,0,0,0,1.96,0,29.45,0.98,0,0.98,15.7,0,0,0.98,0,0,0,0,0,30.43,0,0.98,2.94,70.67,0,0.98,0,0,0,4.91,0,0,0,0,12.76,0.98,1.96,0.98,0.98
 72-82,0,0,0.98,0,1.96,0,26.5,0,0.98,0.98,23.56,0.98,0,0,0.98,0,0,2.94,0,41.23,0,0.98,1.96,69.7,0,2.94,1.96,0,0,1.96,0,0,0,0,12.76,0,0.98,2.94,0
 84-94,0,0,0,0,3.19,2.12,9.56,0,0,0,13.81,1.06,0,0,3.19,0,0,0,1.06,16.99,0,0,0,22.3,0,0,2.12,0,0,4.25,0,0,0,0,3.19,1.06,1.06,0,1.06
 96-106,0,0,0,0,5.46,0,14.21,0,0,0,13.11,0,0,1.09,3.28,0,0,1.09,0,16.39,1.09,0,0,24.04,0,0,4.37,0,2.19,2.19,0,0,0,0,4.37,0,2.19,1.09,1.09
108-118,0,0,0,0,2.3,0,9.19,0,1.53,1.53,5.36,2.3,0,0.77,0.77,0,0.77,0.77,0,10.72,0,0,2.3,26.04,0,0,0.77,0,0.77,3.06,0,0.77,1.53,0,0.77,0,2.3,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,3.92,0,0,0,0,0,3.92,0,0,3.92,0,0,3.92,19.6,0,0,1.96,0,0,3.92,0,0,0,0,0,0,3.92,1.96,1.96
