stage,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,1,4,0,3,3,0,0,1
 24-34,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0.82,1.64,0,0,0.82,5.75,0,0,4.1,0,0,0,1.64,1.64,12.31,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,1.61,0,0,0.81,10.47,0,1.61,2.42,0,0,0,1.61,0,8.86,0,0,0
 48-58,0,0,0,1.72,0,0,2.87,0,0,0,0,0,1.15,2.3,0,0,0.57,13.77,0,0.57,1.72,0,0,0,0.57,0,5.74,0,0,0
 60-70,0,0.98,0,12.76,0,0.98,3.93,0,0,0,0,0,0.98,0,0,0,0,14.72,0,0.98,7.85,0,0,0,0,0,5.89,0,0,0
 72-82,0,0,0,12.76,0,0.98,5.89,0,0,1.96,0,0.98,1.96,2.94,0,0.98,0,20.61,0,1.96,10.8,0,0,0,0.98,0,4.91,0,0,0
 84-94,0,3.19,1.06,13.81,0,0,5.31,0,0,0,0,0,5.31,2.12,0,0,0,9.56,0,1.06,20.18,0,2.12,0,3.19,0,4.25,0,0,0
 96-106,0,2.19,0,8.74,0,0,4.37,1.09,0,0,1.09,0,5.46,2.19,0,0,0,2.19,0,3.28,16.39,0,0,0,0,0,6.56,1.09,1.09,0
108-118,0,0,4.6,3.83,0,0,1.53,0,0,0,0,0,4.6,3.83,0.77,0,2.3,10.72,0,5.36,15.32,0,0,0,0.77,0,1.53,0,0,0
120,0,0,0,3.92,0,0,1.96,0,0,0,0,0,3.92,1.96,0,0,0,7.84,0,1.96,13.72,0,0,0,0,0,3.92,1.96,0,0
