stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,37.76,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,15.73,0,0,169.94,0,0,0,0,0,0,0
 14-21,0,1,9,11,8,838,0,1,0,0,0,3,4,15,1,0,0,5,3,0,0,3,12,0,1,1,3,1,0,5,4,0,112,0,0
 24-34,0,0,5.75,17.24,7.39,109.99,0,3.28,0,1.64,0.82,0.82,15.6,22.98,0,0,0,22.16,1.64,0.82,0,0,37.76,0.82,0,1.64,0,0,0.82,2.46,6.57,0,333.27,0,0
 36-46,0,0,7.25,0.81,4.83,9.67,0,2.42,0,0,0.81,0,8.86,18.53,0,0,0,16.11,0.81,0,0,0.81,18.53,0.81,0,3.22,0,0,0,0,3.22,0,183.69,0,0.81
 48-58,0,0,2.87,1.15,2.3,3.44,0,1.72,0.57,0,0.57,0,14.92,25.25,0,0,0,11.48,2.3,0,0,0,13.77,0,0,1.15,0,0,0,0,2.3,0,144.6,0,0
 60-70,0,0,3.93,0.98,0.98,3.93,0,2.94,0,0,0.98,0,18.65,21.59,0,0,0,9.82,0,0,0,0,6.87,0.98,0,0,0,0,0,0,0.98,0,127.6,0,0
 72-82,0,0,7.85,4.91,1.96,13.74,0,2.94,0,0.98,0,0.98,16.69,48.1,0,0,0,9.82,3.93,0,0,0.98,13.74,0,0,0,0,0,0,0,0,0,226.76,0,0.98
 84-94,0,0,7.43,11.68,1.06,13.81,0,1.06,0,0,2.12,1.06,13.81,73.28,0,0,0,22.3,3.19,0,0,0,6.37,0,0,1.06,0,0,0,0,0,0,206.04,0,0
 96-106,0,0,5.46,18.58,2.19,22.95,1.09,7.65,0,0,0,0,22.95,71.04,0,1.09,0,38.25,4.37,0,1.09,0,18.58,0,0,2.19,0,2.19,0,0,1.09,1.09,237.15,3.28,0
108-118,0.77,0,3.83,29.11,2.3,25.28,0.77,6.13,0.77,0,0,1.53,7.66,46.72,0,0,0.77,36,3.06,0,0,0.77,10.72,0,0,0.77,0,3.83,0,0,0,0,203.75,0,0
120,0,0,11.76,9.8,1.96,29.4,0,3.92,0,0,0,0,9.8,72.51,0,0,0,31.36,1.96,0,0,0,13.72,0,0,1.96,0,0,0,0,0,0,180.3,0,0
