stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,1,2,0,0,0,0,0
 24-34,0,1.64,0,0,3.28,0,0,0,0,0,0,0.82,0,0,0.82,0,0.82,4.1,0,1.64,16.42,0,0,0,0,1.64,0,4.93,0,0,0.82,0,0
 36-46,0,0.81,0,0,4.83,0.81,0.81,0,0,0,0,0,0,0,0,0,0,3.22,0,1.61,35.45,0,1.61,0.81,0,1.61,0,8.86,0,0,0.81,0,0
 48-58,0.57,0.57,0,0,14.92,0,0,5.16,0,0.57,0.57,0,0,0,0.57,0,0,5.16,0,0.57,41.31,0,1.15,0.57,0,1.72,0,6.89,0,0,0,0,0
 60-70,0,0.98,0,0,24.54,0,0,2.94,0,0,0,0.98,0,0.98,0,0,0,7.85,0,0,36.32,0,0.98,0.98,0,0.98,0,2.94,0,0,0,0,0
 72-82,0.98,0.98,1.96,0,30.43,0.98,0,11.78,0,0,0,1.96,0,0.98,0,0,0,12.76,0,3.93,62.83,0,0.98,0.98,0,1.96,0,7.85,0,0.98,0.98,0,0
 84-94,0,2.12,0,0,23.36,0,1.06,5.31,1.06,0,0,0,1.06,1.06,0,0,0,7.43,0,0,26.55,0,0,2.12,1.06,2.12,0,0,1.06,0,0,0,0
 96-106,0,5.46,0,1.09,27.32,0,1.09,4.37,0,0,0,1.09,0,0,0,0,0,8.74,0,1.09,36.06,0,1.09,0,0,4.37,0,0,1.09,1.09,1.09,1.09,0
108-118,0,2.3,0,0,6.89,0,0,2.3,0.77,0,0,2.3,0.77,0.77,0,0,0,6.13,0.77,0.77,19.15,0,2.3,0,0.77,3.06,0,0,1.53,0,2.3,0,0.77
120,1.96,1.96,0,0,9.8,0,0,0,0,0,0,0,1.96,0,0,1.96,0,3.92,0,0,13.72,3.92,0,0,0,5.88,0,0,0,0,1.96,0,0
