stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,10,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,73,0,3,0,0,0,0,0,1,24,0,0,0,0,0
 24-34,0,1.64,2.46,1.64,0,0,2.46,0,2.46,0,0,0,0,0,0,0,0,0,0,11.49,0,0.82,105.07,0.82,27.09,4.1,0,0.82,0,0,0,59.92,0,0,0,0,0
 36-46,0,3.22,0,0.81,0,0,4.03,0,2.42,0,0,0.81,0,0,0,0,0,1.61,1.61,9.67,0,0,175.64,0,37.06,1.61,0,1.61,0,0,0,87.01,0,0,0,0,0.81
 48-58,0,4.02,0,1.15,0,0,44.76,0,1.15,0.57,3.44,0,0,0,0.57,0,0,0,0,13.77,1.72,0.57,243.29,0,29.84,4.02,0.57,0.57,0,0,0,61.4,0,1.72,0,0,0.57
 60-70,0,2.94,0,2.94,0,0,94.23,0.98,0.98,1.96,9.82,0,0,1.96,0,0,0,0.98,0,36.32,4.91,0,419.11,0,36.32,9.82,1.96,0,0,0,0,47.11,0,2.94,0,4.91,0
 72-82,0,4.91,0,13.74,0,0,110.93,0,0.98,1.96,24.54,5.89,0,0,0,0,0,0.98,0,26.5,6.87,0.98,493.78,0,54.97,18.65,0,0,0.98,0,0,39.27,0,8.83,0,5.89,0.98
 84-94,0,7.43,0,11.68,1.06,0,84.96,0,1.06,5.31,21.24,3.19,0,0,0,0,0,1.06,0,21.24,4.25,1.06,228.34,0,41.42,26.55,3.19,1.06,0,0,0,25.49,1.06,13.81,0,7.43,0
 96-106,0,10.93,0,15.3,3.28,1.09,75.41,0,0,2.19,16.39,3.28,0,0,1.09,1.09,1.09,7.65,0,25.14,12.02,2.19,249.17,0,87.43,37.16,1.09,4.37,0,0,0,21.86,1.09,4.37,1.09,21.86,1.09
108-118,0,7.66,0,3.06,0,0.77,71.23,0,0.77,6.13,11.49,4.6,0,0,0.77,0,0.77,6.13,0,19.92,10.72,2.3,298.73,0,68.94,33.7,0.77,0.77,0,0,0,19.92,0.77,3.83,0,8.43,1.53
120,0,7.84,0,9.8,1.96,0,107.79,0,1.96,1.96,23.52,3.92,0,0,1.96,0,0,3.92,0,15.68,13.72,1.96,362.56,1.96,33.32,35.28,0,1.96,0,0,0,33.32,0,3.92,0,19.6,0
