stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0,0,1,0,0
 24-34,0,0,0,34.48,0,0,4.1,0,0,1.64,0,0,0.82,98.5,0,0,0,0.82,5.75,0,0.82
 36-46,0,0,0,97.49,0,0,26.59,0,0,0,0,0,0,241.7,0,0,0,0,34.64,0,0
 48-58,0,0,0,93.53,0.57,0.57,57.38,0.57,0.57,1.72,0,0,0.57,147.47,0,0,0,0,41.89,0,0
 60-70,0,0.98,0,77.54,0,0,53.98,0,0,0,0.98,0,0.98,85.39,0.98,0,0.98,0,19.63,0,0
 72-82,0,1.96,0,21.6,0,0,37.3,0,0,0.98,0,0.98,0,40.25,0,0,0,0,3.93,0.98,0
 84-94,0,0,0,11.68,0,0,23.36,0,0,0,0,0,0,25.49,0,0,0,0,5.31,0,1.06
 96-106,0,0,0,7.65,0,0,13.11,0,0,1.09,0,0,0,22.95,0,0,1.09,0,1.09,0,0
108-118,0,0,0,13.79,0,0,9.19,0,0,0,0,0,0,15.32,0,0,0.77,0,0,0,0
120,0,1.96,3.92,13.72,0,0,11.76,0,0,0,0,0,0,31.36,0,0,0,0,1.96,0,0
