stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,84.97,3.15,0,0,579.04,0,0,15.73,3.15,0,69.23,0,0,0,0,0
 14-21,0,0,0,3,18,9,3,0,0,0,6,1,1,0,0,0,0,1,83,0,0,406,147,2,0,3,9,0,8,382,4,452,3716,21,0,0,0,0
 24-34,0,0,0,0,6.57,2.46,7.39,13.95,0,9.85,0.82,1.64,0,0,0,0,0.82,0,240.51,0.82,0,335.73,142.83,6.57,3.28,0,0,0,0.82,6.57,2.46,168.28,664.07,21.34,0,5.75,0,0.82
 36-46,0,0,0,0,0,0,6.45,29,0,24.98,0.81,0,0.81,0,0,0,0,0,406.86,0,0,149.05,76.54,1.61,1.61,1.61,0,0.81,2.42,0.81,2.42,57.2,25.78,16.11,0,0.81,0.81,1.61
 48-58,0,0,0,0,2.3,0,16.64,16.07,0,14.92,2.87,0,1.15,0.57,0,0.57,0,0,683.98,0,1.15,105.01,55.66,1.15,1.15,0,0,0,0.57,0,0.57,18.94,0,11.48,0.57,0,0.57,5.16
 60-70,0,0,0,0,6.87,0,21.59,22.58,0,13.74,2.94,0.98,3.93,0,0,1.96,0.98,0.98,1027.65,0,2.94,81.47,45.15,1.96,0.98,0.98,0,3.93,0.98,0,0,9.82,0,9.82,15.7,0,0.98,1.96
 72-82,0,0,0,0,1.96,0.98,24.54,16.69,0.98,12.76,6.87,0,6.87,2.94,0,4.91,0,0,979.7,0.98,4.91,83.44,53.99,0,0.98,0.98,0,8.83,0.98,0,0,5.89,0,0.98,21.6,0.98,4.91,2.94
 84-94,0,0,1.06,0,5.31,1.06,40.36,22.3,0,11.68,6.37,0,9.56,0,0,9.56,0,0,711.57,0,3.19,62.66,30.8,2.12,0,0,0,5.31,1.06,0,2.12,7.43,0,3.19,28.68,1.06,7.43,1.06
 96-106,0,0,0,0,1.09,1.09,36.06,13.11,0,5.46,5.46,1.09,8.74,1.09,1.09,16.39,5.46,0,410.91,1.09,3.28,32.79,28.41,0,0,1.09,0,6.56,1.09,0,2.19,8.74,0,3.28,25.14,1.09,3.28,2.19
108-118,0,0,0,0,2.3,0.77,9.96,6.89,0.77,3.06,6.13,0,4.6,0.77,0,15.32,0,0,285.7,0,3.06,33.7,31.4,1.53,0,0,0,6.89,0,0,0,11.49,0,0,13.79,0,2.3,3.83
120,0,0,0,0,5.88,0,5.88,13.72,0,3.92,3.92,1.96,5.88,0,0,5.88,3.92,0,215.58,0,1.96,27.44,19.6,0,0,0,1.96,5.88,0,0,0,1.96,0,1.96,9.8,0,1.96,0
