stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,2.42,0.81,0.81,0.81
 48-58,0,0.57,0,1.15,0.57,0.57,0.57,0.57,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0.98,0
 72-82,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,2.94,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,0,0,13.11,0,0,1.09,0,0,0,6.56,0
108-118,0,0,0.77,0,0,0,1.53,0,0.77,0.77,0,0.77,0,4.6,0
120,0,1.96,0,1.96,0,0,3.92,0,0,0,0,3.92,0,9.8,0
