stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,42.06,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,24,0,1,0,0,1,0,1,0,1,6,0,0,0,0
 24-34,0,0,0,0,5.75,0,12.31,0,0,0.82,0,0,0,0,0,0.82,0,4.1,0,4.93,151.86,0,0.82,4.1,0,3.28,0,0,0.82,0,38.58,0,1.64,0,0
 36-46,0,0,0,0,0,0,12.89,0,0,4.03,0,0,1.61,0,0,0.81,0.81,9.67,0.81,3.22,162.75,1.61,2.42,0,0,0.81,0.81,0,0.81,0,36.26,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,15.49,0.57,0,4.59,0,0,0,0,0,0.57,0,5.74,0,0.57,92.96,0,0,0.57,0,0,0,0,0,0,12.62,0,0.57,0,2.3
 60-70,0,0,0,0,0,0,15.7,0.98,0,2.94,0,0,0,0,0,0.98,0,9.82,0,0,78.52,0,0,0,0,0.98,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,3.93,0,2.94,0.98,7.85,0,0,5.89,0.98,0,0,0,0,0,0,10.8,0.98,0,89.33,0,3.93,0,0,0,0,0,0,0,0.98,0,1.96,0,0
 84-94,0,0,12.74,0,1.06,0,14.87,0,1.06,7.43,9.56,1.06,1.06,1.06,0,1.06,0,6.37,1.06,0,54.16,0,2.12,1.06,0,1.06,0,0,0,0,2.12,1.06,2.12,0,1.06
 96-106,0,0,13.11,0,0,1.09,10.93,1.09,0,7.65,8.74,0,1.09,0,1.09,0,0,7.65,1.09,1.09,45.9,0,1.09,1.09,0,4.37,0,0,0,0,1.09,1.09,1.09,0,1.09
108-118,0,0,13.02,0,0.77,1.53,6.13,0.77,0.77,3.06,12.26,0,0.77,0.77,0,0,0,3.83,0.77,0,55.92,0,0,0.77,0,3.83,0,0,0,0,0.77,0,0,0,1.53
120,0,0,1.96,0,1.96,0,3.92,0,0,5.88,1.96,0,1.96,0,1.96,1.96,0,3.92,0,3.92,92.11,0,0,0,0,1.96,0,0,0,0,5.88,0,0,1.96,0
